row_label_raw,row_label_full,col_0,Bảng cân đối kế toán tổng hợp,Bảng cân đối kế toán tổng hợp_1,Báo cáo kết quả hoạt động kinh doanh tổng hợp,Báo cáo kết quả hoạt động kinh doanh tổng hợp_1,numeric__Bảng cân đối kế toán tổng hợp,numeric__Bảng cân đối kế toán tổng hợp_1,numeric__Báo cáo kết quả hoạt động kinh doanh tổng hợp,numeric__Báo cáo kết quả hoạt động kinh doanh tổng hợp_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(4.403.574),(1.810.289),(2.593.285),(2.415.446),-4403574.0,-1810289.0,-2593285.0,-2415446.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,(4.403.574),(1.810.289),,,-4403574.0,-1810289.0,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,(2.593.285),(2.415.446),,,-2593285.0,-2415446.0
