row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn các bên liên quan (TM số 28) (i),Ngắn hạn > Cho vay ngắn hạn các bên liên quan (TM số 28) (i),Cho vay ngắn hạn các bên liên quan (TM số 28) (i),2.267.870.587,4.380.367.822,2267870587.0,4380367822.0
Cho vay ngắn hạn các bên khác,Ngắn hạn > Cho vay ngắn hạn các bên khác,Cho vay ngắn hạn các bên khác,53.575.927,45.955.286,53575927.0,45955286.0
,,,2.321.446.514,4.426.323.108,2321446514.0,4426323108.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn các bên liên quan (TM số 28),Dài hạn > Cho vay dài hạn các bên liên quan (TM số 28),Cho vay dài hạn các bên liên quan (TM số 28),5.000.000,1.797.818.771,5000000.0,1797818771.0
Cho vay dài hạn các bên khác,Dài hạn > Cho vay dài hạn các bên khác,Cho vay dài hạn các bên khác,-,17.526.263,,17526263.0
,,,5.000.000,1.815.345.034,5000000.0,1815345034.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.326.446.514,6.241.668.142,2326446514.0,6241668142.0
Dự phòng phải thu về cho vay khó đòi,Dài hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(61.359.348),(67.371.929),-61359348.0,-67371929.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.265.087.166,6.174.296.213,2265087166.0,6174296213.0
