row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Chi trả hộ Lãi cho vay Khác,582.325.537 28.223.836 56.434,576.679.710 23.242.638 -,,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con,Chi trả hộ Lãi cho vay Khác,386.500.732 147.444.851 -,197.920.332 - 83.837.000,,,,
Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Chi trả hộ Lãi cho vay,207.436.057 123.917.035,409.253.577 97.745.436,,,,
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Chi trả hộ Lãi cho vay Khác,196.847.181 100.428.011,1.300.000 61.164.527 22.000,,,,
Công ty Cổ phần Gia súc Lơ Pang,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty Cổ phần Gia súc Lơ Pang,Công ty Cổ phần Gia súc Lơ Pang,Công ty con,Lãi cho vay Khác,143.653.668 1.345.345,- 1.015.617,,,,-1015617.0
Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Công ty Cổ phần Chế biến thức ăn Gia súc Trà Bá,Công ty con,Chi trả hộ,141.346.241,-,,,141346241.0,
Công ty TNHH Sản xuất Bột mì,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty TNHH Sản xuất Bột mì,Công ty TNHH Sản xuất Bột mì,Công ty con,Chi trả hộ,96.330.549,-,,,96330549.0,
Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,Công ty con,Chi trả hộ,42.698.900,-,,,42698900.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công có cùng thành viên HĐQT,Lãi cho vay,10.653.887,-,,,10653887.0,
Công ty Cổ phần Lê Me,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty con,Lãi cho vay,-,649.991.651,,,,649991651.0
Các bên khác,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên > Các bên khác,Các bên khác,Bên liên quan,Khác,5.850.117,1.071.574,,,5850117.0,1071574.0
,,,,,2.215.058.381,2.103.244.062,,,2215058381.0,2103244062.0
Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),,,,
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu dài hạn khác (TM số 8) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Lãi cho vay,88.192,-,,,88192.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu dài hạn khác (TM số 8) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,-,10.342.357,,,,10342357.0
Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Phải thu dài hạn khác (TM số 8) > Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty con của Công ty có cùng thành viên HĐQT,Lãi cho vay,-,1.588.193,,,,1588193.0
Công ty Cổ phần Gia súc Lơ Pang,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần Gia súc Lơ Pang,Công ty Cổ phần Gia súc Lơ Pang,Công ty con,Lãi cho vay,-,86.403.261,,,,86403261.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu dài hạn khác (TM số 8) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con,Lãi cho vay,-,85.119.935,,,,85119935.0
,,,,,88.192,183.453.746,,,88192.0,183453746.0
