row_label_raw,row_label_full,(1),Công ty TNHH Hưng Thắng LợiGia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"98,78","98,78_1",numeric__Công ty TNHH Hưng Thắng LợiGia Lai,"numeric__Gia Lai, Việt Nam",numeric__Đang hoạt động,"numeric__98,78","numeric__98,78_1"
(2),(2),(2),Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,"Champasak, Lào",Đang hoạt động,"100,00","98,78",,,,100.0,98.78
(3),(3),(3),Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay,"Attapeu, Lào",Đang hoạt động,"100,00","98,78",,,,100.0,98.78
(4),(4),(4),Công ty Cổ phần Chăn nuôi Gia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"88,03","88,03",,,,88.03,88.03
(5),(5),(5),Công ty Cổ phần Chế biến Thực phẩm Mang Yang,"Gia Lai, Việt Nam",Đang hoạt động,"51,00","44,90",,,,51.0,44.9
(6),(6),(6),Công ty Cổ phần Gia sức Lơ Pang,"Gia Lai, Việt Nam",Đang hoạt động,"100,00","95,45",,,,100.0,95.45
(7),(7),(7),Công ty Cổ phần Lê Me,"Gia Lai, Việt Nam",Đang hoạt động,"100,00","87,74",,,,100.0,87.74
(8),(8),(8),Công ty TNHH Sản xuất Bột mì,"Stung Treng, Campuchia",Đang hoạt động,"100,00","87,74",,,,100.0,87.74
(9),(9),(9),Công ty TNHH Nông nghiệp Công nghệ cao Bolaven,"Champasak, Lào",Đang hoạt động,"100,00","98,78",,,,100.0,98.78
(10),(10),(10),Công ty TNHH MTV Phát triển Nông nghiệp Hoàn Thịnh Attapeu,"Attapeu, Lào",Trước hoạt động (i),"100,00","86,86",,,,100.0,86.86
(11),(11),(11),Công ty Cổ phần Chế biến thức ăn gia súc Trà Bá,"Gia Lai, Việt Nam",Đang hoạt động,"100,00","86,86",,,,100.0,86.86
(12),(12),(12),Công ty Cổ phần Trồng trọt Gia Lai,"Gia Lai, Việt Nam",Trước hoạt động (i),"100,00","86,86",,,,100.0,86.86
(13),(13),(13),Công ty Cổ phần Nông nghiệp Kon Thụp,"Gia Lai, Việt Nam",Trước hoạt động (i),"88,03","88,03",,,,88.03,88.03
