row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu tiền thanh lý khoản đầu tư,Phải thu tiền thanh lý khoản đầu tư,Phải thu tiền thanh lý khoản đầu tư,369.805.976,92.434.018,369805976.0,92434018.0
Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,22.705.081,190.725.046,22705081.0,190725046.0
Phải thu tiền bán căn hộ,Phải thu tiền bán căn hộ,Phải thu tiền bán căn hộ,1.148.510,1.222.335,1148510.0,1222335.0
Phải thu tiền thanh lý tài sản cố định,Phải thu tiền thanh lý tài sản cố định,Phải thu tiền thanh lý tài sản cố định,411.413,50.000,411413.0,50000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,394.070.980,284.431.399,394070980.0,284431399.0
Dự phòng phải thu ngắn hạn khách hàng khó đòi,Dự phòng phải thu ngắn hạn khách hàng khó đòi,Dự phòng phải thu ngắn hạn khách hàng khó đòi,(12.537.759),(16.204.381),-12537759.0,-16204381.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,381.533.221,268.227.018,381533221.0,268227018.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,379.206.529,101.402.899,379206529.0,101402899.0
"Phải thu các bên liên quan (Thuyết minh (""TM"") số 28)","Trong đó: > Phải thu các bên liên quan (Thuyết minh (""TM"") số 28)","Phải thu các bên liên quan (Thuyết minh (""TM"") số 28)",14.864.451,183.028.500,14864451.0,183028500.0
