row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,Tổng lợi nhuận (lỗ) kế toán trước thuế,172.179.799,182.804.560,172179799.0,182804560.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Lãi suất ấn định,Các khoản điều chỉnh: > Lãi suất ấn định,Lãi suất ấn định,99.668.968,-,99668968.0,
Thay đổi các khoản dự phòng,Các khoản điều chỉnh: > Thay đổi các khoản dự phòng,Thay đổi các khoản dự phòng,81.131.638,(224.476.856),81131638.0,-224476856.0
Chi phí lãi vay vượt mức (*),Các khoản điều chỉnh: > Chi phí lãi vay vượt mức (*),Chi phí lãi vay vượt mức (*),34.617.599,65.818.845,34617599.0,65818845.0
Các chi phí không được khấu trừ khác,Các khoản điều chỉnh: > Các chi phí không được khấu trừ khác,Các chi phí không được khấu trừ khác,8.900.356,22.267.402,8900356.0,22267402.0
Thu nhập cổ tức,Các khoản điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,-,(39.023.705),,-39023705.0
Lỗ thuế chưa ghi nhận tài sản thuế hoãn lại,Các khoản điều chỉnh: > Lỗ thuế chưa ghi nhận tài sản thuế hoãn lại,Lỗ thuế chưa ghi nhận tài sản thuế hoãn lại,-,4.686.984,,4686984.0
Chênh lệch tỷ giá chưa thực hiện,Các khoản điều chỉnh: > Chênh lệch tỷ giá chưa thực hiện,Chênh lệch tỷ giá chưa thực hiện,(12.966.425),(12.077.230),-12966425.0,-12077230.0
Thu nhập chịu thuế uốc tính năm hiện hành,Các khoản điều chỉnh: > Thu nhập chịu thuế uốc tính năm hiện hành,Thu nhập chịu thuế uốc tính năm hiện hành,383.531.935,-,383531935.0,
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(240.798.251),-,-240798251.0,
Lợi nhuận tính thuế uốc tính năm hiện hành,Các khoản điều chỉnh: > Lợi nhuận tính thuế uốc tính năm hiện hành,Lợi nhuận tính thuế uốc tính năm hiện hành,142.733.684,-,142733684.0,
Chi phí thuế TNDN hiện hành,Các khoản điều chỉnh: > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,28.546.737,-,28546737.0,
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh: > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,65.230,65.230,65230.0,65230.0
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(549.614),-,-549614.0,
Thuế TNDN phải trả cuối năm (TM số 17),Các khoản điều chỉnh: > Thuế TNDN phải trả cuối năm (TM số 17),Thuế TNDN phải trả cuối năm (TM số 17),28.062.353,65.230,28062353.0,65230.0
