row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng lập trong năm > Trừ: Hoàn nhập dự phòng trong năm > Số cuối năm,Năm nay > 67.371.929 > 527.922 > (6.540.503) > 61.359.348,Ngàn VNDNăm trước > 1.324.625.696 > 51.923.896 > (1.309.177.663) > 67.371.929,numeric__Năm nay > 67.371.929 > 527.922 > (6.540.503) > 61.359.348,numeric__Ngàn VNDNăm trước > 1.324.625.696 > 51.923.896 > (1.309.177.663) > 67.371.929
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,61.359.348,49.845.666,61359348.0,49845666.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,-,17.526.263,,17526263.0
