row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
"Công ty Cổ phần Lê Me (""Lê Me"") (i)","Tên công ty > Công ty Cổ phần Lê Me (""Lê Me"") (i)","Công ty Cổ phần Lê Me (""Lê Me"") (i)",Chăn nuôi và trồng trọt,"87,74",3.450.326.000,-,-,-,-,,87.74,3450326000.0,,,,
Công ty TNHH Hưng Thắng Lợi Gia Lai (ii),Tên công ty > Công ty TNHH Hưng Thắng Lợi Gia Lai (ii),Công ty TNHH Hưng Thắng Lợi Gia Lai (ii),Nông nghiệp,"98,78",2.989.291.000,(712.985.121),"98,00",2.489.291.000,(650.458.785),,98.78,2989291000.0,-712985121.0,98.0,2489291000.0,-650458785.0
"Công ty Cổ phần Gia sức Lơ Pang (""Lơ Pang"") (iii)","Tên công ty > Công ty Cổ phần Gia sức Lơ Pang (""Lơ Pang"") (iii)","Công ty Cổ phần Gia sức Lơ Pang (""Lơ Pang"") (iii)",Chăn nuôi và trồng trọt,"95,45",2.745.600.000,-,"90,00",2.145.600.000,-,,95.45,2745600000.0,,90.0,2145600000.0,
Công ty Cổ phần Chăn nuôi Gia Lai (iv),Tên công ty > Công ty Cổ phần Chăn nuôi Gia Lai (iv),Công ty Cổ phần Chăn nuôi Gia Lai (iv),Chăn nuôi và trồng trọt,"88,03",1.814.091.843,-,"88,03",1.822.042.563,-,,88.03,1814091843.0,,88.03,1822042563.0,
Công ty Cổ phần Thể thao LPBank Hoàng Anh Gia Lai,Tên công ty > Công ty Cổ phần Thể thao LPBank Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao LPBank Hoàng Anh Gia Lai,Câu lạc bộ bóng đá,"97,50",89.769.616,(89.769.616),"97,50",89.769.616,(89.769.616),,97.5,89769616.0,-89769616.0,97.5,89769616.0,-89769616.0
Công ty TNHH Hoàng Anh Gia Lai Vientiane,Tên công ty > Công ty TNHH Hoàng Anh Gia Lai Vientiane,Công ty TNHH Hoàng Anh Gia Lai Vientiane,Quản lý bắt động sản và khách sạn,"100,00",17.778.990,(17.778.990),"100,00",17.778.990,(17.778.990),,100.0,17778990.0,-17778990.0,100.0,17778990.0,-17778990.0
Công ty Cổ phần Nông nghiệp Kon Thụp (iv),Tên công ty > Công ty Cổ phần Nông nghiệp Kon Thụp (iv),Công ty Cổ phần Nông nghiệp Kon Thụp (iv),Chăn nuôi và trồng trọt,"88,03",7.950.720,(7.950.720),-,-,-,,88.03,7950720.0,-7950720.0,,,
Công ty Cổ phần Bệnh viện Đại học Y được - Hoàng Anh Gia Lai (v),Tên công ty > Công ty Cổ phần Bệnh viện Đại học Y được - Hoàng Anh Gia Lai (v),Công ty Cổ phần Bệnh viện Đại học Y được - Hoàng Anh Gia Lai (v),Bệnh viện,-,-,-,"99,00",99.000.000,-,,,,,99.0,99000000.0,
Công ty Cổ phần BAPI Hoàng Anh Gia Lai (vi),Tên công ty > Công ty Cổ phần BAPI Hoàng Anh Gia Lai (vi),Công ty Cổ phần BAPI Hoàng Anh Gia Lai (vi),Bán buôn thực phẩm,-,-,-,"55,00",27.500.000,-,,,,,55.0,27500000.0,
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,11.114.808.169,(828.484.447),,6.690.982.169,(758.007.391),,,11114808169.0,-828484447.0,,6690982169.0,-758007391.0
