row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,"Phương tiệnvận tải,truyền dẫn",Thiết bịvăn phòng,Vườn câylâu năm,Tài sânkhác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,"numeric__Phương tiệnvận tải,truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Vườn câylâu năm,numeric__Tài sânkhác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,227.679.188,19.454.629,32.222.895,4.005.316,6.689.440,108.060,290.159.528,227679188.0,19454629.0,32222895.0,4005316.0,6689440.0,108060.0,290159528.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,-,-,59.900,-,-,59.900,,,,59900.0,,,59900.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(74.017.110),(2.824.329),(572.376),(272.670),-,-,(77.686.485),-74017110.0,-2824329.0,-572376.0,-272670.0,,,-77686485.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,153.662.078,16.630.300,31.650.519,3.792.546,6.689.440,108.060,212.532.943,153662078.0,16630300.0,31650519.0,3792546.0,6689440.0,108060.0,212532943.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,14.625.757,15.509.657,20.145.980,2.894.977,6.689.440,108.060,59.973.871,14625757.0,15509657.0,20145980.0,2894977.0,6689440.0,108060.0,59973871.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(86.723.483),(18.799.925),(28.513.729),(3.431.869),(6.689.440),(108.060),(144.266.506),-86723483.0,-18799925.0,-28513729.0,-3431869.0,-6689440.0,-108060.0,-144266506.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(4.880.397),(92.016),(1.154.701),(216.003),-,-,(6.343.117),-4880397.0,-92016.0,-1154701.0,-216003.0,,,-6343117.0
Thanh lý trong năm,Giá trị khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,33.899.100,2.592.506,572.376,272.670,-,-,37.336.652,33899100.0,2592506.0,572376.0,272670.0,,,37336652.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(57.704.780),(16.299.435),(29.096.054),(3.375.202),(6.689.440),(108.060),(113.272.971),-57704780.0,-16299435.0,-29096054.0,-3375202.0,-6689440.0,-108060.0,-113272971.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,140.955.705,654.704,3.709.166,573.447,-,-,145.893.022,140955705.0,654704.0,3709166.0,573447.0,,,145893022.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,95.957.298,330.865,2.554.465,417.344,-,-,99.259.972,95957298.0,330865.0,2554465.0,417344.0,,,99259972.0
Trong đó:Thế chấp để đảm bảo cho cắc khoản vay của Công ty (TM số 20),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo cho cắc khoản vay của Công ty (TM số 20),Trong đó:Thế chấp để đảm bảo cho cắc khoản vay của Công ty (TM số 20),95.177.738,-,2.554.465,-,-,-,97.732.203,95177738.0,,2554465.0,,,,97732203.0
