row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2018 Triệu VND,2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2018 Triệu VND,numeric__2017 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,26,26.295.571,21.534.204,,26.0,26295571.0,21534204.0
2,2,2,Chi phí lãi và các chi phí tương tự,26,(18.661.777),(16.256.169),,26.0,-18661777.0,-16256169.0
I,I,I,Thu nhập lãi thuần,26,7.633.794,5.278.035,,26.0,7633794.0,5278035.0
3,3,3,Thu nhập từ hoạt động dịch vụ,27,3.772.038,3.439.285,,27.0,3772038.0,3439285.0
4,4,4,Chi phí hoạt động dịch vụ,27,(1.089.894),(815.454),,27.0,-1089894.0,-815454.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,27,2.682.144,2.623.831,,27.0,2682144.0,2623831.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,401.278,343.879,,28.0,401278.0,343879.0
IV,IV,IV,Lãi thuần từ bán chứng khoán kinh doanh,,3.304,13.965,,,3304.0,13965.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29,21.223,157.524,,29.0,21223.0,157524.0
5,5,5,Thu nhập từ hoạt động khác,30,951.030,323.744,,30.0,951030.0,323744.0
6,6,6,Chi phí hoạt động khác,30,(18.647),(8.537),,30.0,-18647.0,-8537.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,932.383,315.207,,30.0,932383.0,315207.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",31,2.809,(87.155),,31.0,2809.0,-87155.0
VIII,VIII,VIII,Chi phí hoạt động,32,(7.837.830),(6.336.893),,32.0,-7837830.0,-6336893.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,3.839.105,2.308.393,,,3839105.0,2308393.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,33,(1.592.114),(816.589),,33.0,-1592114.0,-816589.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,2.246.991,1.491.804,,,2246991.0,1491804.0
