row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Quá hạn > Quá hạn trên 3 thángTriệu VND,Quá hạn > Quá hạn đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Quá hạn > Từ trên 1 đến3 thángTriệu VND,Quá hạn > Trong hạnTừ trên 3 đến12 thángTriệu VND,Quá hạn > Từ trên 1 đến 5nămTriệu VND,Quá hạn > Trên 5 nămTriệu VND,Quá hạn > TổngTriệu VND,numeric__Quá hạn > Quá hạn trên 3 thángTriệu VND,numeric__Quá hạn > Quá hạn đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Quá hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Quá hạn > Trong hạnTừ trên 3 đến12 thángTriệu VND,numeric__Quá hạn > Từ trên 1 đến 5nămTriệu VND,numeric__Quá hạn > Trên 5 nămTriệu VND,numeric__Quá hạn > TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,6.212.662,-,-,-,-,6.212.662,,,6212662.0,,,,,6212662.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.002.395,-,-,-,-,3.002.395,,,3002395.0,,,,,3002395.0
Tiền gửi và cho vay các TCTD khác– gộp,Tài sản > Tiền gửi và cho vay các TCTD khác– gộp,Tiền gửi và cho vay các TCTD khác– gộp,552,-,7.050.974,248.489,73.357,-,-,7.373.372,552.0,,7050974.0,248489.0,73357.0,,,7373372.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,63.250,-,-,-,63.250,,,,63250.0,,,,63250.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,20.251,-,-,-,-,20.251,,,20251.0,,,,,20251.0
Cho vay khách hàng – gộp (i) (*),Tài sản > Cho vay khách hàng – gộp (i) (*),Cho vay khách hàng – gộp (i) (*),2.791.380,899.241,11.767.796,22.748.313,62.249.648,67.521.652,54.968.600,222.946.630,2791380.0,899241.0,11767796.0,22748313.0,62249648.0,67521652.0,54968600.0,222946630.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,-,-,-,-,648.763,648.763,,,,,,,648763.0,648763.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,29.460.378,246.497,-,2.300.000,43.267.260,75.274.135,,,29460378.0,246497.0,,2300000.0,43267260.0,75274135.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,320.934,320.934,,,,,,,320934.0,320934.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,18.180,956,8.847,540.627,7.532.386,8.100.996,,,18180.0,956.0,8847.0,540627.0,7532386.0,8100996.0
Tài sản Có khác – gộp (*),Tài sản > Tài sản Có khác – gộp (*),Tài sản Có khác – gộp (*),1.195.135,-,5.451.456,643.081,3.596.913,14.717.412,24.411.522,50.015.519,1195135.0,,5451456.0,643081.0,3596913.0,14717412.0,24411522.0,50015519.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),3.987.067,899.241,62.984.092,23.950.586,65.928.765,85.079.691,131.149.465,373.978.907,3987067.0,899241.0,62984092.0,23950586.0,65928765.0,85079691.0,131149465.0,373978907.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,6.257,24.009,80.251,120.220,747,231.484,,,6257.0,24009.0,80251.0,120220.0,747.0,231484.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,4.045.304,6.696.743,904.754,998.869,3.336,12.649.006,,,4045304.0,6696743.0,904754.0,998869.0,3336.0,12649006.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,126.465.136,62.117.388,89.149.431,42.067.548,60.084,319.859.587,,,126465136.0,62117388.0,89149431.0,42067548.0,60084.0,319859587.0
"Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,90.267,708,-,90.975,,,,,90267.0,708.0,,90975.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,600,-,-,439.770,5.161.016,5.601.386,,,600.0,,,439770.0,5161016.0,5601386.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.855.241,1.622.265,1.933.604,379.461,9.539,6.800.110,,,2855241.0,1622265.0,1933604.0,379461.0,9539.0,6800110.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,133.372.538,70.460.405,92.158.307,44.006.576,5.234.722,345.232.548,,,133372538.0,70460405.0,92158307.0,44006576.0,5234722.0,345232548.0
Mức chênh thanh khoản ròng[(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng[(3)=(1)-(2)],Mức chênh thanh khoản ròng[(3)=(1)-(2)],3.987.067,899.241,(70.388.446),(46.509.819),(26.229.542),41.073.115,125.914.743,28.746.359,3987067.0,899241.0,-70388446.0,-46509819.0,-26229542.0,41073115.0,125914743.0,28746359.0
