row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2018Triệu VND,31/12/2017Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2018Triệu VND,numeric__31/12/2017Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,17,5.293.086,231.484,,17.0,5293086.0,231484.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,18,7.300.158,12.649.006,,18.0,7300158.0,12649006.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,1.043.216,7.131.126,,,1043216.0,7131126.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,6.256.942,5.517.880,,,6256942.0,5517880.0
III,B > III,III,Tiền gửi của khách hàng,19,349.388.922,319.859.587,,19.0,349388922.0,319859587.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",20,87.728,90.975,,20.0,87728.0,90975.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,8.065.909,5.601.386,,21.0,8065909.0,5601386.0
VII,B > VII,VII,Các khoản nợ khác,,11.272.428,6.800.110,,,11272428.0,6800110.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,5.946.965,4.463.753,,,5946965.0,4463753.0
2,B > 2,2,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,25.462,23.370,,,25462.0,23370.0
3,B > 3,3,Các khoản phải trả và công nợ khác,22,5.300.001,2.312.987,,22.0,5300001.0,2312987.0
,,,TỔNG NỘ PHẢI TRẢ,,381.408.231,345.232.548,,,381408231.0,345232548.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,25,24.632.367,23.236.292,,25.0,24632367.0,23236292.0
1,B > 1,1,Vốn,,18.166.632,18.166.632,,,18166632.0,18166632.0
a,B > a,a,Vốn điều lệ,,18.852.157,18.852.157,,,18852157.0,18852157.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,1.121,1.121,,,1121.0,1121.0
c,B > c,c,Thặng dư vốn cổ phần,,63.612,63.612,,,63612.0,63612.0
d,B > d,d,Cổ phiếu quỹ,,(750.911),(750.911),,,-750911.0,-750911.0
e,B > e,e,Vốn khác,,653,653,,,653.0,653.0
2,B > 2,2,Các quỹ,,2.720.885,2.549.642,,,2720885.0,2549642.0
3,B > 3,3,Chênh lệch tỷ giá hối đoái,,223.786,233.900,,,223786.0,233900.0
5,B > 5,5,Lợi nhuận chưa phân phối,,3.521.064,2.286.118,,,3521064.0,2286118.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,24.632.367,23.236.292,,,24632367.0,23236292.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,406.040.598,368.468.840,,,406040598.0,368468840.0
