row_label_raw,row_label_full,Được phân loại là tài sản tài chính được xác định theo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh:,31/12/2018 > Giá trị ghi số Triệu VND,31/12/2018 > Giá trị hợp lý Triệu VND,31/12/2017 > Giá trị ghi số Triệu VND,31/12/2017 > Giá trị hợp lý Triệu VND,numeric__31/12/2018 > Giá trị ghi số Triệu VND,numeric__31/12/2018 > Giá trị hợp lý Triệu VND,numeric__31/12/2017 > Giá trị ghi số Triệu VND,numeric__31/12/2017 > Giá trị hợp lý Triệu VND
- Các công cụ tài chính phải sinh và các tài sản tài chính khác,- Các công cụ tài chính phải sinh và các tài sản tài chính khác,- Các công cụ tài chính phải sinh và các tài sản tài chính khác,21.310,(*),20.251,(*),21310.0,,20251.0,
- Chứng khoán kinh doanh,- Chứng khoán kinh doanh,- Chứng khoán kinh doanh,-,,63.250,(*),,,63250.0,
Được phân loại là các khoản đầu tư năm giữ đến ngày đáo hạn:,Được phân loại là các khoản đầu tư năm giữ đến ngày đáo hạn:,Được phân loại là các khoản đầu tư năm giữ đến ngày đáo hạn:,,,,,,,,
- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,Được phân loại là các khoản đầu tư năm giữ đến ngày đáo hạn: > - Chứng khoán đầu tư giữ đến ngày đáo hạn khác,- Chứng khoán đầu tư giữ đến ngày đáo hạn khác,37.663.508,(*),43.302.379,(*),37663508.0,,43302379.0,
Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,,,,,,,,
- Tiền gửi tại Ngân hàng Nhà nước,Được phân loại là các khoản cho vay và phải thu: > - Tiền gửi tại Ngân hàng Nhà nước,- Tiền gửi tại Ngân hàng Nhà nước,9.611.502,9.611.502,3.002.395,3.002.395,9611502.0,9611502.0,3002395.0,3002395.0
- Tiền gửi và cho vay các tổ chức tín dụng khác,Được phân loại là các khoản cho vay và phải thu: > - Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,4.822.454,(*),7.372.820,(*),4822454.0,,7372820.0,
- Cho vay khách hàng,Được phân loại là các khoản cho vay và phải thu: > - Cho vay khách hàng,- Cho vay khách hàng,253.100.111,(*),220.197.752,(*),253100111.0,,220197752.0,
- Hoạt động mua nợ,Được phân loại là các khoản cho vay và phải thu: > - Hoạt động mua nợ,- Hoạt động mua nợ,544.786,(*),643.784,(*),544786.0,,643784.0,
"- Các khoản lãi, phí phải thu","Được phân loại là các khoản cho vay và phải thu: > - Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",23.154.608,(*),24.742.217,(*),23154608.0,,24742217.0,
- Tài sản Có khác,Được phân loại là các khoản cho vay và phải thu: > - Tài sản Có khác,- Tài sản Có khác,14.283.508,(*),14.385.294,(*),14283508.0,,14385294.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,,,,,,,,
- Trái phiếu chính phù và trái phiếu do các TCTD khác phát hành,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Trái phiếu chính phù và trái phiếu do các TCTD khác phát hành,- Trái phiếu chính phù và trái phiếu do các TCTD khác phát hành,37.677.345,(*),29.760.378,(*),37677345.0,,29760378.0,
- Cổ phiếu có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,-,,4.711,(*),,,4711.0,
- Cổ phiếu không có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Cổ phiếu không có giá niêm yết,- Cổ phiếu không có giá niêm yết,120.336,(*),120.551,(*),120336.0,,120551.0,
"- Góp vốn, đầu tư dài hạn","Được phân loại là tài sản tài chính sẵn sàng để bán: > - Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",142.613,(*),164.184,(*),142613.0,,164184.0,
