row_label_raw,row_label_full,col_0,Ảnh hưởng đến lợi nhuận sau thuế Tăng/(giảm) Triệu VND,numeric__Ảnh hưởng đến lợi nhuận sau thuế Tăng/(giảm) Triệu VND
Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,
USD (mạnh lên 2%),Ngày 31 tháng 12 năm 2018 > USD (mạnh lên 2%),USD (mạnh lên 2%),(1.061),-1061.0
EUR (yếu đi 2%),Ngày 31 tháng 12 năm 2018 > EUR (yếu đi 2%),EUR (yếu đi 2%),(2.081),-2081.0
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,
USD (mạnh lên 2%),Ngày 31 tháng 12 năm 2017 > USD (mạnh lên 2%),USD (mạnh lên 2%),23.410,23410.0
EUR (mạnh lên 8%),Ngày 31 tháng 12 năm 2017 > EUR (mạnh lên 8%),EUR (mạnh lên 8%),(854),-854.0
