row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2018 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2018 > Trên 5 nămTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,,,,,,,,
- VND,Tiền gửi tại NHNN > - VND,- VND,N/A,N/A,"1,2%",N/A,N/A,N/A,N/A,N/A,,,0.012,,,,,
- Ngoại tệ,Tiền gửi tại NHNN > - Ngoại tệ,- Ngoại tệ,N/A,N/A,0%,N/A,N/A,N/A,N/A,N/A,,,0.0,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,
- VND,Tiền gửi và cho vay các tổ chức tín dụng khác > - VND,- VND,"17,4%",N/A,"0% - 5,5%",N/A,"5,4% - 7,1%","5,4% - 7,1%",N/A,N/A,0.174,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,"0% - 3,1%","0,9% - 6,0%","2,0% - 3,8%","2,0% - 7,0%",N/A,N/A,,,,,,,,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,,,,,,,,
- VND,- VND,- VND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,
