row_label_raw,row_label_full,2017,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Lào Triệu VND,Campuchia Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Lào Triệu VND,numeric__Campuchia Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,4.152.490(2.939.605),3.970.019(2.453.110),23.522.298(21.221.660),220.517(104.072),214.357(83.199),(10.545.477)10.545.477,21.534.204(16.256.169),,,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,4.152.490(2.939.605),3.970.019(2.453.110),23.522.298(21.221.660),220.517(104.072),214.357(83.199),(10.545.477)10.545.477,21.534.204(16.256.169),,,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,1.212.885,1.516.909,2.300.638,116.445,131.158,,5.278.035,1212885.0,1516909.0,2300638.0,116445.0,131158.0,,5278035.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,201.591,142.054,2.972.333,16.720,34.553,,3.367.251,201591.0,142054.0,2972333.0,16720.0,34553.0,,3367251.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,1.414.476,1.658.963,5.272.971,133.165,165.711,,8.645.286,1414476.0,1658963.0,5272971.0,133165.0,165711.0,,8645286.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(679.269),(620.406),(4.810.028),(96.354),(130.836),,(6.336.893),-679269.0,-620406.0,-4810028.0,-96354.0,-130836.0,,-6336893.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,735.207,1.038.557,462.943,36.811,34.875,,2.308.393,735207.0,1038557.0,462943.0,36811.0,34875.0,,2308393.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(719.896),(5.867),(90.826),,(816.589),,,-719896.0,-5867.0,-90826.0,,-816589.0
TỔNG LỢI NHUẬN/(LỔ) TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN/(LỔ) TRƯỚC THUẾ,TỔNG LỢI NHUẬN/(LỔ) TRƯỚC THUẾ,735.207,1.038.557,(256.953),30.944,(55.951),,1.491.804,735207.0,1038557.0,-256953.0,30944.0,-55951.0,,1491804.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",972.490,844.228,4.159.073,67.300,169.571,-,6.212.662,972490.0,844228.0,4159073.0,67300.0,169571.0,,6212662.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,64.298,174.013,1.727.277,392.347,644.460,-,3.002.395,64298.0,174013.0,1727277.0,392347.0,644460.0,,3002395.0
Tiền gửi tại và cho vay các TCTD khác – thuần,Tài sản > Tiền gửi tại và cho vay các TCTD khác – thuần,Tiền gửi tại và cho vay các TCTD khác – thuần,2.467,1.890,6.600.580,537.699,230.184,-,7.372.820,2467.0,1890.0,6600580.0,537699.0,230184.0,,7372820.0
Cho vay khách hàng – thuần,Tài sản > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,28.677.540,36.082.891,150.963.280,1.961.022,2.513.019,-,220.197.752,28677540.0,36082891.0,150963280.0,1961022.0,2513019.0,,220197752.0
Hoạt động mua nợ – thuần,Tài sản > Hoạt động mua nợ – thuần,Hoạt động mua nợ – thuần,-,-,643.784,-,-,-,643.784,,,643784.0,,,,643784.0
Chứng khoán đầu tư – thuần,Tài sản > Chứng khoán đầu tư – thuần,Chứng khoán đầu tư – thuần,-,-,73.415.453,-,561,-,73.416.014,,,73415453.0,,561.0,,73416014.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,677.773,835.019,56.155.923,358.351,158.265,(561.918),57.623.413,677773.0,835019.0,56155923.0,358351.0,158265.0,-561918.0,57623413.0
TỔNG TÀI SẢN,Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,30.394.568,37.938.041,293.665.370,3.316.719,3.716.060,(561.918),368.468.840,30394568.0,37938041.0,293665370.0,3316719.0,3716060.0,-561918.0,368468840.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,231.484,-,-,-,231.484,,,231484.0,,,,231484.0
