row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2018 > Triệu VND > Thu nhập/(chi phí),2017 > Triệu VND > Thu nhập/(chi phí),numeric__2018 > Triệu VND > Thu nhập/(chi phí),numeric__2017 > Triệu VND > Thu nhập/(chi phí)
Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,,
Thu nhập lãi cho vay,Các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập lãi cho vay,Thu nhập lãi cho vay,270,1.920,270.0,1920.0
Chi phí lãi tiền gửi,Các Thành viên của Ban lãnh đạo Tập đoàn > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(1.805),(5.556),-1805.0,-5556.0
Thu nhập từ hoạt động dịch vụ,Các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,42,58,42.0,58.0
Thù lao sau thuế trả cho các Thành viên Hội đồng Quản trị và Ban Kiểm soát của Ngân hàng,Các Thành viên của Ban lãnh đạo Tập đoàn > Thù lao sau thuế trả cho các Thành viên Hội đồng Quản trị và Ban Kiểm soát của Ngân hàng,Thù lao sau thuế trả cho các Thành viên Hội đồng Quản trị và Ban Kiểm soát của Ngân hàng,(39.775),(25.952),-39775.0,-25952.0
Thu nhập sau thuế trả cho các Thành viên Ban Tổng Giám đốc,Các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập sau thuế trả cho các Thành viên Ban Tổng Giám đốc,Thu nhập sau thuế trả cho các Thành viên Ban Tổng Giám đốc,(75.979),(81.026),-75979.0,-81026.0
Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,,
Thu nhập lãi cho vay,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập lãi cho vay,Thu nhập lãi cho vay,330,59.085,330.0,59085.0
Chi phí trả lãi tiền gửi,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,(3.067),(5.960),-3067.0,-5960.0
Thu nhập từ hoạt động dịch vụ,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,124,80,124.0,80.0
Các bên liên quan đến Cổ đông lớn (sở hữu 5% vốn điều lệ),Các bên liên quan đến Cổ đông lớn (sở hữu 5% vốn điều lệ),Các bên liên quan đến Cổ đông lớn (sở hữu 5% vốn điều lệ),Các bên liên quan đến Cổ đông lớn (sở hữu 5% vốn điều lệ),Các bên liên quan đến Cổ đông lớn (sở hữu 5% vốn điều lệ),,
Chi phí trả lãi tiền gửi,Các bên liên quan đến Cổ đông lớn (sở hữu 5% vốn điều lệ) > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,-,(70),,-70.0
Thu nhập từ hoạt động dịch vụ,Các bên liên quan đến Cổ đông lớn (sở hữu 5% vốn điều lệ) > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,-,30,,30.0
