row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",4.118.753,1.094.168,202.332,797.409,6.212.662,4118753.0,1094168.0,202332.0,797409.0,6212662.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.240.013,1.468.555,-,293.827,3.002.395,1240013.0,1468555.0,,293827.0,3002395.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,5.529.915,1.333.120,22.429,487.908,7.373.372,5529915.0,1333120.0,22429.0,487908.0,7373372.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,63.250,-,-,-,63.250,63250.0,,,,63250.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,1.359.763,-,48.836,43.859,1.452.458,1359763.0,,48836.0,43859.0,1452458.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,209.407.398,11.265.850,13.697,2.259.685,222.946.630,209407398.0,11265850.0,13697.0,2259685.0,222946630.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,648.763,-,-,648.763,,648763.0,,,648763.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,75.273.574,561,-,-,75.274.135,75273574.0,561.0,,,75274135.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",320.934,-,-,-,320.934,320934.0,,,,320934.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,7.755.932,42.625,-,302.439,8.100.996,7755932.0,42625.0,,302439.0,8100996.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,49.531.658,435.941,248,47.672,50.015.519,49531658.0,435941.0,248.0,47672.0,50015519.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),354.601.190,16.289.583,287.542,4.232.799,375.411.114,354601190.0,16289583.0,287542.0,4232799.0,375411114.0
