row_label_raw,row_label_full,Số dư cuối năm,31/12/2018 > Triệu VND > Phải thu/ (phải trả),31/12/2017 > Triệu VND > Phải thu/ (phải trả),numeric__31/12/2018 > Triệu VND > Phải thu/ (phải trả),numeric__31/12/2017 > Triệu VND > Phải thu/ (phải trả)
Các Thành viên của Ban lãnh đạo Tập đoàn (*),Các Thành viên của Ban lãnh đạo Tập đoàn (*),Các Thành viên của Ban lãnh đạo Tập đoàn (*),Các Thành viên của Ban lãnh đạo Tập đoàn (*),Các Thành viên của Ban lãnh đạo Tập đoàn (*),,
Cho vay,Các Thành viên của Ban lãnh đạo Tập đoàn (*) > Cho vay,Cho vay,68.227,22.006,68227.0,22006.0
Nhận tiền gửi,Các Thành viên của Ban lãnh đạo Tập đoàn (*) > Nhận tiền gửi,Nhận tiền gửi,(87.590),(102.230),-87590.0,-102230.0
Chứng chỉ tiền gửi,Các Thành viên của Ban lãnh đạo Tập đoàn (*) > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(160),(3.556),-160.0,-3556.0
Phải thu khác,Các Thành viên của Ban lãnh đạo Tập đoàn (*) > Phải thu khác,Phải thu khác,88,305,88.0,305.0
Phải trả khác,Các Thành viên của Ban lãnh đạo Tập đoàn (*) > Phải trả khác,Phải trả khác,(1.148),(1.223),-1148.0,-1223.0
Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn,,
Cho vay,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn > Cho vay,Cho vay,683.865,27.964,683865.0,27964.0
Nhận tiền gửi,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn > Nhận tiền gửi,Nhận tiền gửi,(205.183),(116.381),-205183.0,-116381.0
Chứng chỉ tiền gửi,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(11.030),(12.050),-11030.0,-12050.0
Phải thu khác,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn > Phải thu khác,Phải thu khác,2.490,125,2490.0,125.0
Phải trả khác,Các bên liên quan của các Thành viên của Ban lãnh đạo Tập đoàn > Phải trả khác,Phải trả khác,(2.337),(1.588),-2337.0,-1588.0
Các bên liên quan đến cổ đông lớn,Các bên liên quan đến cổ đông lớn,Các bên liên quan đến cổ đông lớn,Các bên liên quan đến cổ đông lớn,Các bên liên quan đến cổ đông lớn,,
Tiền gửi,Các bên liên quan đến cổ đông lớn > Tiền gửi,Tiền gửi,-,(13.155),,-13155.0
