row_label_raw,row_label_full,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),31/12/2018Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),31/12/2017Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),numeric__31/12/2018Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),numeric__31/12/2017Triệu VND > Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)
Chứng khoán nợDo các tổ chức kinh tế trong nước phát hành,Chứng khoán nợDo các tổ chức kinh tế trong nước phát hành,Chứng khoán nợDo các tổ chức kinh tế trong nước phát hành,-,2.000.000,,2000000.0
Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Dự phòng rủi ro tín dụng chung (i),Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Dự phòng rủi ro tín dụng chung (i),Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành)Dự phòng rủi ro tín dụng chung (i),-,(15.000),,-15000.0
,,,-,1.985.000,,1985000.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,,
Mệnh giá trái phiếu đặc biệt (ii),Trái phiếu đặc biệt do VAMC phát hành > Mệnh giá trái phiếu đặc biệt (ii),Mệnh giá trái phiếu đặc biệt (ii),40.233.215,43.266.699,40233215.0,43266699.0
Dự phòng rủi ro trái phiếu đặc biệt (iii),Trái phiếu đặc biệt do VAMC phát hành > Dự phòng rủi ro trái phiếu đặc biệt (iii),Dự phòng rủi ro trái phiếu đặc biệt (iii),(2.569.707),(1.949.320),-2569707.0,-1949320.0
,,,37.663.508,41.317.379,37663508.0,41317379.0
,,,37.663.508,43.302.379,37663508.0,43302379.0
