row_label_raw,row_label_full,2018,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.605.617,859.674,484,4.465.775,3605617.0,859674.0,484.0,4465775.0
Tăng do mua mới và nâng cấp trong năm,Nguyên giá > Tăng do mua mới và nâng cấp trong năm,Tăng do mua mới và nâng cấp trong năm,45.965,16.017,-,61.982,45965.0,16017.0,,61982.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(a)(i)),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(a)(i)),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(a)(i)),36.171,84.070,-,120.241,36171.0,84070.0,,120241.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(73.491),(184),-,(73.675),-73491.0,-184.0,,-73675.0
Chênh lệch quy đổi tỷ giá hối đoái,Nguyên giá > Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,(1.118),380,-,(738),-1118.0,380.0,,-738.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.613.144,959.957,484,4.573.585,3613144.0,959957.0,484.0,4573585.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,169.156,669.780,459,839.395,169156.0,669780.0,459.0,839395.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,29.321,73.398,25,102.744,29321.0,73398.0,25.0,102744.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(412),(184),-,(596),-412.0,-184.0,,-596.0
Chênh lệch quy đổi tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,-,120,-,120,,120.0,,120.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,198.065,743.114,484,941.663,198065.0,743114.0,484.0,941663.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.436.461,189.894,25,3.626.380,3436461.0,189894.0,25.0,3626380.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.415.079,216.843,-,3.631.922,3415079.0,216843.0,,3631922.0
