row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",3.751.608,1.559.354,175.505,893.082,6.379.549,3751608.0,1559354.0,175505.0,893082.0,6379549.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,7.814.540,1.470.535,-,326.427,9.611.502,7814540.0,1470535.0,,326427.0,9611502.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,2.242.165,2.093.652,26.178,461.011,4.823.006,2242165.0,2093652.0,26178.0,461011.0,4823006.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,487.413,38.861,17.201,543.475,,487413.0,38861.0,17201.0,543475.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,244.724.636,9.610.708,-,2.287.409,256.622.753,244724636.0,9610708.0,,2287409.0,256622753.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,549.040,-,-,549.040,,549040.0,,,549040.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,78.168.715,580,-,52.652,78.221.947,78168715.0,580.0,,52652.0,78221947.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",320.477,-,-,-,320.477,320477.0,,,,320477.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,7.914.153,45.513,-,289.986,8.249.652,7914153.0,45513.0,,289986.0,8249652.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,47.702.424,379.165,675,51.745,48.134.009,47702424.0,379165.0,675.0,51745.0,48134009.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),392.638.718,16.195.960,241.219,4.379.513,413.455.410,392638718.0,16195960.0,241219.0,4379513.0,413455410.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNN,Các khoản nợ NHNN,5.293.086,-,-,-,5.293.086,5293086.0,,,,5293086.0
