row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,numeric__Từ 10 đến90 ngàyTriệu VND,numeric__Từ 91 đến180 ngàyTriệu VND,numeric__Quá hạnTừ 181 đến360 ngàyTriệu VND,numeric__Trên360 ngàyTriệu VND,numeric__TổngTriệu VND
Các khoản cho vayvà phải thu,Các khoản cho vayvà phải thu,Các khoản cho vayvà phải thu,,,,,,,,,,
Tiền gửi và cho vay cácTCTD khác – gộp,Các khoản cho vayvà phải thu > Tiền gửi và cho vay cácTCTD khác – gộp,Tiền gửi và cho vay cácTCTD khác – gộp,-,-,-,552,552,,,,552.0,552.0
Cho vay khách hàng – gộp,Các khoản cho vayvà phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,986.201,177.492,294.295,4.831.283,6.289.271,986201.0,177492.0,294295.0,4831283.0,6289271.0
Tài sản Có khác – gộp,Các khoản cho vayvà phải thu > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,-,1.059.234,1.059.234,,,,1059234.0,1059234.0
,,,986.201,177.492,294.295,5.891.069,7.349.057,986201.0,177492.0,294295.0,5891069.0,7349057.0
Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,,,,,
Các khoản cho vayvà phải thu,Các khoản cho vayvà phải thu,Các khoản cho vayvà phải thu,,,,,,,,,,
Tiền gửi và cho vay cácTCTD khác – gộp,Các khoản cho vayvà phải thu > Tiền gửi và cho vay cácTCTD khác – gộp,Tiền gửi và cho vay cácTCTD khác – gộp,-,-,-,552,552,,,,552.0,552.0
Cho vay khách hàng – gộp,Các khoản cho vayvà phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,763.784,1.452.399,602.459,8.122.020,10.940.662,763784.0,1452399.0,602459.0,8122020.0,10940662.0
Tài sản Có khác – gộp,Các khoản cho vayvà phải thu > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,-,1.249.762,1.249.762,,,,1249762.0,1249762.0
,,,763.784,1.452.399,602.459,9.372.334,12.190.976,763784.0,1452399.0,602459.0,9372334.0,12190976.0
