row_label_raw,row_label_full,2018Triệu VND,2017Triệu VND,numeric__2017Triệu VND
476.775,476.775,476.775,401.905,401905.0
32.325,32.325,32.325,37.180,37180.0
589.467,589.467,589.467,56.949,56949.0
10.981,10.981,10.981,-,
1.109.548,10.981 > 1.109.548,1.109.548,496.034,496034.0
(65.600),10.981 > (65.600),(65.600),(28.834),-28834.0
(8.333),10.981 > (8.333),(8.333),(13.180),-13180.0
(634.337),10.981 > (634.337),(634.337),(51.268),-51268.0
-,10.981 > -,-,(58.873),-58873.0
(708.270),10.981 > (708.270),(708.270),(152.155),-152155.0
401.278,10.981 > 401.278,401.278,343.879,343879.0
