row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,6.212.662,-,-,-,-,-,-,6.212.662,,6212662.0,,,,,,,6212662.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,392.347,2.610.048,-,-,-,-,-,3.002.395,,392347.0,2610048.0,,,,,,3002395.0
Tiền gửi và cho vay các tổ chức tín dụngkhác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụngkhác – gộp,Tiền gửi và cho vay các tổ chức tín dụngkhác – gộp,552,-,7.050.974,248.489,-,73.357,-,-,7.373.372,552.0,,7050974.0,248489.0,,73357.0,,,7373372.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,63.250,-,-,-,-,-,-,63.250,,63250.0,,,,,,,63250.0
Công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sảntài chính khác,Công cụ tài chính phải sinh và các tài sảntài chính khác,-,20.251,-,-,-,-,-,-,20.251,,20251.0,,,,,,,20251.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),11.303.929,-,75.157.364,129.492.389,753.145,1.104.881,3.455.498,1.679.424,222.946.630,11303929.0,,75157364.0,129492389.0,753145.0,1104881.0,3455498.0,1679424.0,222946630.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,-,648.763,-,-,-,-,648.763,,,,648763.0,,,,,648763.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,43.513.757,600.143,853.076,152.051,3.304.149,26.790.998,59.961,75.274.135,,43513757.0,600143.0,853076.0,152051.0,3304149.0,26790998.0,59961.0,75274135.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,320.934,-,-,-,-,-,-,320.934,,320934.0,,,,,,,320934.0
