row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Quá hạn > Quá hạn trên 3 thángTriệu VND,Quá hạn > Quá hạn đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Quá hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ trên 1 đến 5nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,Trong hạn > TổngTriệu VND,numeric__Quá hạn > Quá hạn trên 3 thángTriệu VND,numeric__Quá hạn > Quá hạn đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Quá hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến 5nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__Trong hạn > TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,6.379.549,-,-,-,-,6.379.549,,,6379549.0,,,,,6379549.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,9.611.502,-,-,-,-,9.611.502,,,9611502.0,,,,,9611502.0
Tiền gửi và cho vay các TCTD khác– gộp,Tài sản > Tiền gửi và cho vay các TCTD khác– gộp,Tiền gửi và cho vay các TCTD khác– gộp,552,-,4.577.218,20.299,224.937,-,-,4.823.006,552.0,,4577218.0,20299.0,224937.0,,,4823006.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,21.310,-,-,-,-,21.310,,,21310.0,,,,,21310.0
Cho vay khách hàng – gộp (i) (*),Tài sản > Cho vay khách hàng – gộp (i) (*),Cho vay khách hàng – gộp (i) (*),2.079.867,1.141.055,14.602.169,30.414.015,75.807.507,64.396.998,68.181.142,256.622.753,2079867.0,1141055.0,14602169.0,30414015.0,75807507.0,64396998.0,68181142.0,256622753.0
Hoạt động mua nợ – gộp,Tài sản > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,-,-,-,-,-,549.040,549.040,,,,,,,549040.0,549040.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,37.409.640,225.860,-,3.068.600,37.517.847,78.221.947,,,37409640.0,225860.0,,3068600.0,37517847.0,78221947.0
"Gớp vốn, đầu tư dài hạn – gộp","Tài sản > Gớp vốn, đầu tư dài hạn – gộp","Gớp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,320.477,320.477,,,,,,,320477.0,320477.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,107,749,16.388,553.414,7.678.994,8.249.652,,,107.0,749.0,16388.0,553414.0,7678994.0,8249652.0
Tài sản Có khác – gộp (*),Tài sản > Tài sản Có khác – gộp (*),Tài sản Có khác – gộp (*),994.434,-,7.812.456,659.527,2.568.860,15.341.149,20.757.583,48.134.009,994434.0,,7812456.0,659527.0,2568860.0,15341149.0,20757583.0,48134009.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),3.074.853,1.141.055,80.413.951,31.320.450,78.617.692,83.360.161,135.005.083,412.933.245,3074853.0,1141055.0,80413951.0,31320450.0,78617692.0,83360161.0,135005083.0,412933245.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,5.054.082,22.092,69.413,146.934,565,5.293.086,,,5054082.0,22092.0,69413.0,146934.0,565.0,5293086.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,4.668.589,1.059.370,887.959,681.134,3.106,7.300.158,,,4668589.0,1059370.0,887959.0,681134.0,3106.0,7300158.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,142.377.060,76.350.088,90.828.173,39.778.864,54.737,349.388.922,,,142377060.0,76350088.0,90828173.0,39778864.0,54737.0,349388922.0
"Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,87.728,-,-,87.728,,,,,87728.0,,,87728.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,600,-,-,438.940,7.626.369,8.065.909,,,600.0,,,438940.0,7626369.0,8065909.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,5.061.641,1.802.469,3.339.416,1.060.130,8.772,11.272.428,,,5061641.0,1802469.0,3339416.0,1060130.0,8772.0,11272428.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,157.161.972,79.234.019,95.212.689,42.106.002,7.693.549,381.408.231,,,157161972.0,79234019.0,95212689.0,42106002.0,7693549.0,381408231.0
Mức chênh thanh khoản ròng[(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng[(3)=(1)-(2)],Mức chênh thanh khoản ròng[(3)=(1)-(2)],3.074.853,1.141.055,(76.748.021),(47.913.569),(16.594.997),41.254.159,127.311.534,31.525.014,3074853.0,1141055.0,-76748021.0,-47913569.0,-16594997.0,41254159.0,127311534.0,31525014.0
