row_label_raw,row_label_full,col_0,31/12/2021 VND,31/12/2020 VND,numeric__31/12/2021 VND,numeric__31/12/2020 VND
USD,USD,USD,"22.915,00","23.140,00",22915.0,23140.0
EUR,EUR,EUR,"26.210,00","28.675,00",26210.0,28675.0
GBP,GBP,GBP,"31.215,00","31.880,00",31215.0,31880.0
CHF,CHF,CHF,"25.052,50","26.287,00",25052.5,26287.0
JPY,JPY,JPY,"199,12","223,00",199.12,223.0
SGD,SGD,SGD,"16.977,00","17.509,00",16977.0,17509.0
CAD,CAD,CAD,"18.014,50","18.161,00",18014.5,18161.0
AUD,AUD,AUD,"16.694,00","17.842,00",16694.0,17842.0
KHR,KHR,KHR,"5,90","5,78",5.9,5.78
THB,THB,THB,"684,78","758,22",684.78,758.22
SEK,SEK,SEK,"2.586,96","2.852,79",2586.96,2852.79
