row_label_raw,row_label_full,Các khoản thuế phải nộp Nhà nước (Thuyết minh số 25),31/12/2021triệu đồng > 880.837,31/12/2020triệu đồng > 542.616,numeric__31/12/2021triệu đồng > 880.837,numeric__31/12/2020triệu đồng > 542.616
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,661.092,668.663,661092.0,668663.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,169.431,2.760.994,169431.0,2760994.0
Phải trả liên quan đến dịch vụ liên kết,Phải trả liên quan đến dịch vụ liên kết,Phải trả liên quan đến dịch vụ liên kết,447.365,642.895,447365.0,642895.0
Phải trả giao dịch chuyển tiền liên ngân hàng,Phải trả giao dịch chuyển tiền liên ngân hàng,Phải trả giao dịch chuyển tiền liên ngân hàng,7.834.781,8.431.602,7834781.0,8431602.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.882.311,1.665.620,1882311.0,1665620.0
,,,11.875.817,14.712.390,11875817.0,14712390.0
