row_label_raw,row_label_full,"Số lượng cán bộ, công nhân viên bình quân trong năm (người)",Năm 2021 > 9.471,Năm 2020 > 9.507,numeric__Năm 2021 > 9.471,numeric__Năm 2020 > 9.507
"Thu nhập của cán bộ, công nhân viên (triệu đồng)","Thu nhập của cán bộ, công nhân viên (triệu đồng)","Thu nhập của cán bộ, công nhân viên (triệu đồng)",4.079.625,3.580.997,4079625.0,3580997.0
Thu nhập bình quân tháng (triệu đồng/người/tháng),Thu nhập bình quân tháng (triệu đồng/người/tháng),Thu nhập bình quân tháng (triệu đồng/người/tháng),"35,90","31,39",35.9,31.39
