row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng triệu đồng
,,,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 đến 3 tháng triệu đồng,Từ 3 đến 12 tháng triệu đồng,Từ 1 đến 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,3.473.732,-,-,-,-,3.473.732,,,3473732.0,,,,,3473732.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,38.041.371,-,-,-,-,38.041.371,,,38041371.0,,,,,38041371.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),80.400,-,23.330.071,8.960.168,5.942.702,-,-,38.313.341,80400.0,,23330071.0,8960168.0,5942702.0,,,38313341.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,5.614.680,-,-,-,-,5.614.680,,,5614680.0,,,,,5614680.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,(11.659),65.196,181.593,38.609,-,273.739,,,-11659.0,65196.0,181593.0,38609.0,,273739.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),2.233.320,1.710.208,22.918.382,54.378.082,122.282.276,114.852.765,22.914.049,341.289.082,2233320.0,1710208.0,22918382.0,54378082.0,122282276.0,114852765.0,22914049.0,341289082.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),50.000,,15.008,2.504.641,29.636.203,37.608.309,54.536.045,124.350.206,50000.0,,15008.0,2504641.0,29636203.0,37608309.0,54536045.0,124350206.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,5.355.416,-,5.355.416,,,,,,5355416.0,,5355416.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,-,-,-,3.955.265,-,3.955.265,,,,,,3955265.0,,3955265.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),20.008,-,23.605.239,305.865,1.009.902,70.711,3.282,25.015.007,20008.0,,23605239.0,305865.0,1009902.0,70711.0,3282.0,25015007.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.383.728,1.710.208,116.986.824,66.213.952,159.052.676,161.881.075,77.453.376,585.681.839,2383728.0,1710208.0,116986824.0,66213952.0,159052676.0,161881075.0,77453376.0,585681839.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
