row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2021 triệu đồng,31/12/2020 triệu đồng,numeric__Thuyết minh,numeric__31/12/2021 triệu đồng,numeric__31/12/2020 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,3.473.732,3.108.249,5.0,3473732.0,3108249.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,38.041.371,17.286.855,6.0,38041371.0,17286855.0
Tiền gửi và cho vay các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,7,38.232.485,50.248.113,7.0,38232485.0,50248113.0
Tiền gửi tại các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,,28.477.889,46.555.805,,28477889.0,46555805.0
Cho vay các tổ chức tín dụng khác,TÀI SẢN > Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,,9.835.452,3.692.308,,9835452.0,3692308.0
Dự phòng rủi ro,TÀI SẢN > Dự phòng rủi ro,Dự phòng rủi ro,,(80.856),-,,-80856.0,
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,5.614.680,1.470.802,,5614680.0,1470802.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,5.614.680,1.470.802,8.0,5614680.0,1470802.0
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Dự phòng rủi ro chứng khoán kinh doanh > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,273.739,26.266,9.0,273739.0,26266.0
Cho vay khách hàng,Dự phòng rủi ro chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,,333.166.837,279.872.124,,333166837.0,279872124.0
Cho vay khách hàng,Dự phòng rủi ro chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,10,341.285.497,284.000.380,10.0,341285497.0,284000380.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro chứng khoán kinh doanh > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(8.118.660),(4.128.256),11.0,-8118660.0,-4128256.0
