row_label_raw,row_label_full,col_0,31/12/2021 triệu đồng Phải thu/(Phải trả),31/12/2020 triệu đồng Phải thu/(Phải trả),numeric__31/12/2021 triệu đồng Phải thu/(Phải trả),numeric__31/12/2020 triệu đồng Phải thu/(Phải trả)
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(72.090),(174.789),-72090.0,-174789.0
- Phải thu bán chứng chỉ quỹ JAMBF,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Phải thu bán chứng chỉ quỹ JAMBF",- Phải thu bán chứng chỉ quỹ JAMBF,16.402,38.832,16402.0,38832.0
"Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Cổ phần Chứng khoán MB (""MBS"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(1.169.609),(572.464),-1169609.0,-572464.0
"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quân đội (""MB AMC"")","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quân đội (""MB AMC"")","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quân đội (""MB AMC"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng Thương mại Cổ phần Quân đội (""MB AMC"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(387.884),(365.880),-387884.0,-365880.0
"Công ty Tài chính TNHH MB Shinsei (""Mcredit"")","Công ty Tài chính TNHH MB Shinsei (""Mcredit"")","Công ty Tài chính TNHH MB Shinsei (""Mcredit"")",,,,
- Tiền gửi có kỳ hạn tại Mcredit,"Công ty Tài chính TNHH MB Shinsei (""Mcredit"") > - Tiền gửi có kỳ hạn tại Mcredit",- Tiền gửi có kỳ hạn tại Mcredit,5.465.000,4.790.000,5465000.0,4790000.0
- Tiền gửi không kỳ hạn và có kỳ hạn,"Công ty Tài chính TNHH MB Shinsei (""Mcredit"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(397.507),(709.393),-397507.0,-709393.0
"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"")",,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,"Tổng Công ty Cổ phần Bảo hiểm Quân đội (""MIC"") > - Tiền gửi không kỳ hạn và có kỳ hạn",- Tiền gửi không kỳ hạn và có kỳ hạn,(1.204.980),(1.349.132),-1204980.0,-1349132.0
- Cho vay,- Cho vay,- Cho vay,-,-,,
- Phải thu cổ tức được nhận,- Cho vay > - Phải thu cổ tức được nhận,- Phải thu cổ tức được nhận,-,48.885,,48885.0
Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,,,,
- Tiền gửi không kỳ hạn và có kỳ hạn,Công ty TNHH Bảo hiểm nhân thọ MB Ageas > - Tiền gửi không kỳ hạn và có kỳ hạn,- Tiền gửi không kỳ hạn và có kỳ hạn,(1.469.677),(1.098.260),-1469677.0,-1098260.0
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,,,
- Tiền Ngân hàng cho vay,- Tiền Ngân hàng cho vay,- Tiền Ngân hàng cho vay,-,-,,
- Tiền gửi tại Ngân hàng,- Tiền Ngân hàng cho vay > - Tiền gửi tại Ngân hàng,- Tiền gửi tại Ngân hàng,(27.908.467),(17.428.686),-27908467.0,-17428686.0
