row_label_raw,row_label_full,col_0,Năm 2021 triệu đồng,Năm 2020 triệu đồng,numeric__Năm 2021 triệu đồng,numeric__Năm 2020 triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",48.997,34.346,48997.0,34346.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,4.417.160,4.184.369,4417160.0,4184369.0
- Chi phí lương và các khoản đóng góp theo lương,- Chi phí lương và các khoản đóng góp theo lương,- Chi phí lương và các khoản đóng góp theo lương,4.258.407,4.056.313,4258407.0,4056313.0
- Chi trợ cấp,- Chi trợ cấp,- Chi trợ cấp,27.513,17.645,27513.0,17645.0
- Chi khác cho nhân viên,- Chi khác cho nhân viên,- Chi khác cho nhân viên,131.240,110.411,131240.0,110411.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,1.982.395,1.477.210,1982395.0,1477210.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Khấu hao tài sản cố định,Trong đó: > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,920.597,527.004,920597.0,527004.0
- Chi khác về tài sản,Trong đó: > - Chi khác về tài sản,- Chi khác về tài sản,1.061.798,950.206,1061798.0,950206.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,2.144.040,1.550.528,2144040.0,1550528.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công tác phí,Trong đó: > - Công tác phí,- Công tác phí,86.564,94.827,86564.0,94827.0
- Chi về các hoạt động đoàn thể của TCTD,Trong đó: > - Chi về các hoạt động đoàn thể của TCTD,- Chi về các hoạt động đoàn thể của TCTD,7.997,11.084,7997.0,11084.0
- Chi khác cho hoạt động quản lý,Trong đó: > - Chi khác cho hoạt động quản lý,- Chi khác cho hoạt động quản lý,2.049.479,1.444.617,2049479.0,1444617.0
Chi quỹ khoa học công nghệ,Trong đó: > Chi quỹ khoa học công nghệ,Chi quỹ khoa học công nghệ,-,400.000,,400000.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",245.158,185.965,245158.0,185965.0
,,,8.837.750,7.832.418,8837750.0,7832418.0
