row_label_raw,row_label_full,col_0,Đơn vị: triệu đồng > Miền Bắc,Đơn vị: triệu đồng > Miền Trung,Đơn vị: triệu đồng > Miền Nam,Đơn vị: triệu đồng > Nước ngoài,Đơn vị: triệu đồng > Loại trừ,Đơn vị: triệu đồng > Tổng cộng,numeric__Đơn vị: triệu đồng > Miền Bắc,numeric__Đơn vị: triệu đồng > Miền Trung,numeric__Đơn vị: triệu đồng > Miền Nam,numeric__Đơn vị: triệu đồng > Nước ngoài,numeric__Đơn vị: triệu đồng > Loại trừ,numeric__Đơn vị: triệu đồng > Tổng cộng
Doanh thu,Doanh thu,Doanh thu,64.236.760,4.524.328,18.253.068,434.050,(42.163.229),45.284.977,64236760.0,4524328.0,18253068.0,434050.0,-42163229.0,45284977.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,51.523.780,3.920.641,15.799.724,369.645,(37.631.219),33.982.571,51523780.0,3920641.0,15799724.0,369645.0,-37631219.0,33982571.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2.347.024,137.194,743.675,17.815,(189.197),3.056.511,2347024.0,137194.0,743675.0,17815.0,-189197.0,3056511.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,10.365.956,466.493,1.709.669,46.590,(4.342.813),8.245.895,10365956.0,466493.0,1709669.0,46590.0,-4342813.0,8245895.0
Chi phí,Chi phí,Chi phí,,,,,,,,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(38.687.000),(2.355.583),(8.701.016),(223.240),37.624.411,(12.342.428),-38687000.0,-2355583.0,-8701016.0,-223240.0,37624411.0,-12342428.0
2. Chi phí khấu hao TSCĐ,Chi phí > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(855.278),(14.961),(46.758),(3.600),-,(920.597),-855278.0,-14961.0,-46758.0,-3600.0,,-920597.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(10.915.224),(501.180),(2.576.058),(92.799),2.808.256,(11.277.005),-10915224.0,-501180.0,-2576058.0,-92799.0,2808256.0,-11277005.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,13.779.258,1.652.604,6.929.236,114.411,(1.730.562),20.744.947,13779258.0,1652604.0,6929236.0,114411.0,-1730562.0,20744947.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(5.782.486),(954.899),(1.303.734),(36.306),1.730.562,(6.346.863),-5782486.0,-954899.0,-1303734.0,-36306.0,1730562.0,-6346863.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,7.996.772,697.705,5.625.502,78.105,-,14.398.084,7996772.0,697705.0,5625502.0,78105.0,,14398084.0
"42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng","42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng",,,,,,
,,,Tổng nợ cho vay triệu đồng,Tổng tiền gửi tại NHNN và các TCTD khác triệu đồng,Cam kết ngoại bảng triệu đồng,Công cụ tài chính phái sinh triệu đồng,,Kinh doanh và đầu tư chứng khoán triệu đồng,,,,,,
Trong nước,"42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng > Trong nước",Trong nước,338.527.068,74.703.528,450.421.184,273.739,,129.850.783,338527068.0,74703528.0,450421184.0,273739.0,,129850783.0
Nước ngoài,"42.3 Mức độ tập trung theo khu vực địa lý của tài sản, công nợ và các khoản mục ngoại bằng > Nước ngoài",Nước ngoài,2.758.429,1.651.184,66.530,-,,114.103,2758429.0,1651184.0,66530.0,,,114103.0
,,,341.285.497,76.354.712,450.487.714,273.739,,129.964.886,341285497.0,76354712.0,450487714.0,273739.0,,129964886.0
