row_label_raw,row_label_full,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Cổ phiếu quỹ triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Cổ phiếu quỹ triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
23.727.323,23.727.323,23.727.323,-,(1.036.712),1.435.149,2.855.497,508.792,9.786.566,37.276.615,,-1036712.0,1435149.0,2855497.0,508792.0,9786566.0,37276615.0
-,-,-,-,-,-,-,-,7.840.347,7.840.347,,,,,,7840347.0,7840347.0
-,-,-,-,-,374.839,749.678,337.355,(1.461.872),-,,,374839.0,749678.0,337355.0,-1461872.0,
-,-,-,-,-,-,-,(228.414),-,(228.414),,,,,-228414.0,,-228414.0
3.617.140,3.617.140,3.617.140,-,-,-,-,-,(3.617.140),-,,,,,,-3617140.0,
-,-,-,100.747,472.315,,,,,573.062,100747.0,472315.0,,,,,573062.0
-,-,-,-,-,-,-,-,(449.807),(449.807),,,,,,-449807.0,-449807.0
643.106,643.106,643.106,1.076.816,-,-,-,-,-,1.719.922,1076816.0,,,,,,1719922.0
-,-,-,-,-,-,-,10,8.142,8.152,,,,,10.0,8142.0,8152.0
-,-,-,-,-,-,-,(342),(3.492),(3.834),,,,,-342.0,-3492.0,-3834.0
27.987.569,27.987.569,27.987.569,1.177.563,(564.397),1.809.988,3.605.175,617.401,12.102.744,46.736.043,1177563.0,-564397.0,1809988.0,3605175.0,617401.0,12102744.0,46736043.0
-,-,-,-,-,-,-,-,11.554.421,11.554.421,,,,,,11554421.0,11554421.0
-,-,-,-,-,392.017,784.035,276.012,(1.452.064),-,,,392017.0,784035.0,276012.0,-1452064.0,
-,-,-,-,-,-,-,-,(548.824),(548.824),,,,,,-548824.0,-548824.0
-,-,-,-,-,-,-,(418.766),-,(418.766),,,,,-418766.0,,-418766.0
9.795.649,9.795.649,9.795.649,-,-,-,-,-,(9.795.649),-,,,,,,-9795649.0,
-,-,-,(308.236),564.397,-,-,-,(256.161),-,-308236.0,564397.0,,,,-256161.0,
-,-,-,-,-,-,-,(1.256),(2.719),(3.975),,,,,-1256.0,-2719.0,-3975.0
37.783.218,37.783.218,37.783.218,869.327,-,2.202.005,4.389.210,473.391,11.601.748,57.318.899,869327.0,,2202005.0,4389210.0,473391.0,11601748.0,57318899.0
