row_label_raw,row_label_full,col_0,Năm 2021 triệu đồng,Năm 2020 triệu đồng,numeric__Năm 2021 triệu đồng,numeric__Năm 2020 triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,33.982.571,29.221.285,33982571.0,29221285.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,481.447,569.132,481447.0,569132.0
Thu nhập lãi cho vay,Thu nhập lãi cho vay,Thu nhập lãi cho vay,24.538.479,20.860.231,24538479.0,20860231.0
Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,6.499.346,5.871.301,6499346.0,5871301.0
Thu từ dịch vụ mua bán nợ,Thu từ dịch vụ mua bán nợ,Thu từ dịch vụ mua bán nợ,42.941,-,42941.0,
Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,1.913.316,1.472.613,1913316.0,1472613.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,507.042,448.008,507042.0,448008.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(12.342.428),(12.591.440),-12342428.0,-12591440.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(9.194.934),(9.819.181),-9194934.0,-9819181.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(310.285),(252.781),-310285.0,-252781.0
Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,(2.288.594),(2.083.488),-2288594.0,-2083488.0
Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,(548.615),(435.990),-548615.0,-435990.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,21.640.143,16.629.845,21640143.0,16629845.0
