row_label_raw,row_label_full,Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Bên liên quan ( tiếp theo),Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Nội dung nghiệp vụ,Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN,Năm 2020 > Đơn vị tính: VND > Giá trị giao dịch (VND),numeric__Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Nội dung nghiệp vụ,numeric__Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN,numeric__Năm 2020 > Đơn vị tính: VND > Giá trị giao dịch (VND)
- Công ty CP Tập đoàn Đèo cả,- Công ty CP Tập đoàn Đèo cả,- Công ty CP Tập đoàn Đèo cả,,,,,,
,,,-Thi công các công trình,,24.859.944.667,,,24859944667.0
,,,- Nước uống đóng chai,,42.685.452,,,42685452.0
,,,"- Thuê thiết bị, phương tiện",,154.545.453,,,154545453.0
,,,-Nhiên liệu,,514.622.364,,,514622364.0
,,,- Phải thu,,65.640.993.207,,,65640993207.0
,,,- Vé máy bay,,392.356.013,,,392356013.0
,,,- Cung cấp CNTT,,1.009.942.500,,,1009942500.0
,,,- Phải trả,,15.409.277.220,,,15409277220.0
,,,- Tiền lãi vay,,15.812.453.611,,,15812453611.0
,,,- Cho vay tiền,,178.631.895.603,,,178631895603.0
- Công ty CP Đầu tư Hải Thạch B.O.T,- Công ty CP Đầu tư Hải Thạch B.O.T,- Công ty CP Đầu tư Hải Thạch B.O.T,,,,,,
,,,- Cho mượn,,,,,
,,,- Cho vay tiền,,2.000.000.000,,,2000000000.0
,,,- Tiền lãi vay,,5.946.849.315,,,5946849315.0
"Cho đến ngày lập Báo cáo tài chính, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính, các khoản chưa được thanh toán với các bên liên quan như sau:","Cho đến ngày lập Báo cáo tài chính, các khoản chưa được thanh toán với các bên liên quan như sau:",,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Các khoản phải thu (VND),Các khoản phải trả (VND),,,
,,,- Phải thu khác,55.300.000.000,,,55300000000.0,
+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,Bên liên quan > + Công ty Cổ phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,- Phải thu,21.821.245.712,,,21821245712.0,
