row_label_raw,row_label_full,col_0,Số đầu năm > Phải thu,Số đầu năm > Phải trả,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm > Phải thu,Số cuối năm > Phải trả,numeric__Số đầu năm > Phải thu,numeric__Số đầu năm > Phải trả,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm > Phải thu,numeric__Số cuối năm > Phải trả
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,2.295.676.729,4.601.890.606,2.295.676.727,,4.601.890.608,,2295676729.0,4601890606.0,2295676727.0,,4601890608.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,80.367.488,338.029.529,176.480.022,,241.916.995,,80367488.0,338029529.0,176480022.0,,241916995.0
Thuế GTGT,Thuế GTGT,Thuế GTGT,,3.635.720.191,54.510.953.285,48.641.596.533,,9.505.076.943,,3635720191.0,54510953285.0,48641596533.0,,9505076943.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,,,828.285.423,828.285.423,,,,,828285423.0,828285423.0,,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",,,921.212.685,921.212.685,,,,,921212685.0,921212685.0,,
Thuế khác,Thuế khác,Thuế khác,,,401.686.478,401.686.478,,,,,401686478.0,401686478.0,,
Cộng,Cộng,Cộng,,6.011.764.408,61.602.058.006,53.264.937.868,,14.348.884.546,,6011764408.0,61602058006.0,53264937868.0,,14348884546.0
