row_label_raw,row_label_full,Giá trị hợp lý của tài sản và nợ phải trả tài chính > a) Tài sản tài chính,Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 31/12/2020 > Giá trị,Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 31/12/2020 > Dự phòng,Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 01/01/2020 > Giá trị,Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 01/01/2020 > Dự phòng,Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị hợp lý > 31/12/2020,Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị hợp lý > 01/01/2020,numeric__Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 31/12/2020 > Giá trị,numeric__Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 31/12/2020 > Dự phòng,numeric__Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 01/01/2020 > Giá trị,numeric__Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị sổ sách > 01/01/2020 > Dự phòng,numeric__Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị hợp lý > 31/12/2020,numeric__Giá trị hợp lý của tài sản và nợ phải trả tài chính > Giá trị hợp lý > 01/01/2020
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,76.734.825.238,,9.484.547.074,,76.734.825.238,9.484.547.074,76734825238.0,,9484547074.0,,76734825238.0,9484547074.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,288.399.822.070,(13.372.401.231),129.780.042.432,(13.314.401.231),288.399.822.070,116.465.641.201,288399822070.0,-13372401231.0,129780042432.0,-13314401231.0,288399822070.0,116465641201.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,9.706.806.018,,2.682.715.879,,9.706.806.018,2.682.715.879,9706806018.0,,2682715879.0,,9706806018.0,2682715879.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,165.975.402.365,,303.396.158.342,,165.975.402.365,303.396.158.342,165975402365.0,,303396158342.0,,165975402365.0,303396158342.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.875.965.900.000,,2.238.215.900.000,,2.875.965.900.000,2.238.215.900.000,2875965900000.0,,2238215900000.0,,2875965900000.0,2238215900000.0
Cộng,Cộng,Cộng,3.416.782.755.691,(13.372.401.231),2.683.559.363.727,(13.314.401.231),3.416.782.755.691,2.670.244.962.496,3416782755691.0,-13372401231.0,2683559363727.0,-13314401231.0,3416782755691.0,2670244962496.0
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị sổ sách,Giá trị hợp lý,Giá trị hợp lý,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,31/12/2020,31/12/2020,01/01/2020,01/01/2020,31/12/2020,01/01/2020,,,,,,
b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,b) Nợ phải trả tài chính,Giá trị,Dự phòng,Giá trị,Dự phòng,31/12/2020,01/01/2020,,,,,,
Phải trả cho người bán,b) Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,166.742.868.656,,104.254.218.959,,166.742.868.656,104.254.218.959,166742868656.0,,104254218959.0,,166742868656.0,104254218959.0
Người mua trả tiền trước,b) Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,119.014.747.040,,13.671.606.067,,119.014.747.040,13.671.606.067,119014747040.0,,13671606067.0,,119014747040.0,13671606067.0
Vay và nợ,b) Nợ phải trả tài chính > Vay và nợ,Vay và nợ,433.314.628.142,,374.664.665.214,,433.314.628.142,374.664.665.214,433314628142.0,,374664665214.0,,433314628142.0,374664665214.0
Phải trả người lao động,b) Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,11.253.522.652,,7.522.165.361,,11.253.522.652,7.522.165.361,11253522652.0,,7522165361.0,,11253522652.0,7522165361.0
Các khoản phải trả khác,b) Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,34.020.233.167,,9.717.695.417,,34.020.233.167,9.717.695.417,34020233167.0,,9717695417.0,,34020233167.0,9717695417.0
Cộng,b) Nợ phải trả tài chính > Cộng,Cộng,764.345.999.657,,509.830.351.018,,764.345.999.657,509.830.351.018,764345999657.0,,509830351018.0,,764345999657.0,509830351018.0
