row_label_raw,row_label_full,31/12/2020,Bán hàng khác,Dịch vụ trung chuyển,Bất động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Vận hành thu phí,Xây dựng,Tổng cộng,numeric__Bán hàng khác,numeric__Dịch vụ trung chuyển,numeric__Bất động sản đầu tư,"numeric__Vận hành, bảo dưỡng Hầm",numeric__Vận hành thu phí,numeric__Xây dựng,numeric__Tổng cộng
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,18.200.668.612,13.014.731.404,7.590.950.704,1.305.536.361,257.253.285,7.709.832.826,48.078.973.192,18200668612.0,13014731404.0,7590950704.0,1305536361.0,257253285.0,7709832826.0,48078973192.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,3.500.293.751.532,,,,,,,3500293751532.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,18.200.668.612,13.014.731.404,7.590.950.704,1.305.536.361,257.253.285,7.709.832.826,3.548.372.724.724,18200668612.0,13014731404.0,7590950704.0,1305536361.0,257253285.0,7709832826.0,3548372724724.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,248.903.276.058,,117.462.661.034,366.365.937.092,,,,248903276058.0,,117462661034.0,366365937092.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,442.191.841.457,,,,,,,442191841457.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,248.903.276.058,,117.462.661.034,808.557.778.549,,,,248903276058.0,,117462661034.0,808557778549.0
b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,b. Báo cáo thứ yếu theo Khu vực địa lý,,,,,,,
Năm trước,Năm trước,Năm trước,Đà Nẵng,Huế,"Phú yên, Khánh Hòa","Bắc Giang, Lạng Sơn",,Khác,Tổng cộng,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,211.777.672.605,19.070.479.091,,,,114.789.562.396,345.637.714.092,211777672605.0,19070479091.0,,,,114789562396.0,345637714092.0
Tài sản bộ phận,Năm trước > Tài sản bộ phận,Tài sản bộ phận,,,,,,,2.831.155.471.210,,,,,,,2831155471210.0
Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài han khác,Năm trước > Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài han khác,Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài han khác,,,,,,,52.500.000,,,,,,,52500000.0
Năm nay,Năm nay,Năm nay,Đà Nẵng,Huế,"Phú yên, Khánh Hòa","Bắc Giang, Lạng Sơn",,Khác,Tổng cộng,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,191.218.295.102,85.890.944.369,195.475.837.399,53.146.343.397,,19.031.853.680,544.763.273.947,191218295102.0,85890944369.0,195475837399.0,53146343397.0,,19031853680.0,544763273947.0
Tài sản bộ phận,Năm nay > Tài sản bộ phận,Tài sản bộ phận,,,,,,,3.548.372.724.724,,,,,,,3548372724724.0
Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm nay > Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chỉ phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,(4.143.673.094),,,,,,,-4143673094.0
