row_label_raw,row_label_full,Bên liên quan,Chức vụ,Nội dung nghiệp vụ,Giá trị giao dịch (VND),numeric__Chức vụ,numeric__Nội dung nghiệp vụ,numeric__Giá trị giao dịch (VND)
+ Ông Hồ Minh Hoàng,+ Ông Hồ Minh Hoàng,+ Ông Hồ Minh Hoàng,Chủ tịch Hội đồng Quản trị,- Mua cổ phần,,,,
- Công nợ với các thành viên quản lý chủ chốt và các cá nhân liên quan,- Công nợ với các thành viên quản lý chủ chốt và các cá nhân liên quan,- Công nợ với các thành viên quản lý chủ chốt và các cá nhân liên quan,- Công nợ với các thành viên quản lý chủ chốt và các cá nhân liên quan,- Công nợ với các thành viên quản lý chủ chốt và các cá nhân liên quan,- Công nợ với các thành viên quản lý chủ chốt và các cá nhân liên quan,,,
Bên liên quan,Bên liên quan,Bên liên quan,Chức vụ,Nội dung nghiệp vụ,Các khoản phải thu (VND),,,
- Thu nhập của các thành viên quản lý chủ chốt,- Thu nhập của các thành viên quản lý chủ chốt,- Thu nhập của các thành viên quản lý chủ chốt,- Thu nhập của các thành viên quản lý chủ chốt,- Thu nhập của các thành viên quản lý chủ chốt,- Thu nhập của các thành viên quản lý chủ chốt,,,
,,,,Năm nay,Năm trước,,,
Thù lao Hội đồng quản trị và Ban kiểm soát,- Thu nhập của các thành viên quản lý chủ chốt > Thù lao Hội đồng quản trị và Ban kiểm soát,Thù lao Hội đồng quản trị và Ban kiểm soát,,748.500.000,306.000.000,,748500000.0,306000000.0
Tiền lương,- Thu nhập của các thành viên quản lý chủ chốt > Tiền lương,Tiền lương,,1.209.435.596,1.203.555.184,,1209435596.0,1203555184.0
Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,Giao dịch với các bên liên quan khác:,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,,,,,
- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,Công ty con,,,,,
- Công ty cổ phần Đầu tư Đèo Cả,- Công ty cổ phần Đầu tư Đèo Cả,- Công ty cổ phần Đầu tư Đèo Cả,Công ty con,,,,,
- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty con,,,,,
- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty liên kết,,,,,
- Công ty Cổ phần Đầu tư BOT Đèo Cá Khánh Hòa,- Công ty Cổ phần Đầu tư BOT Đèo Cá Khánh Hòa,- Công ty Cổ phần Đầu tư BOT Đèo Cá Khánh Hòa,Công ty liên kết,,,,,
- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,Công ty liên kết,,,,,
- Công ty CP Tập Đoàn Đèo cả,- Công ty CP Tập Đoàn Đèo cả,- Công ty CP Tập Đoàn Đèo cả,Cổ ty mẹ,,,,,
- Hồ Minh Hoàng,- Hồ Minh Hoàng,- Hồ Minh Hoàng,Cổ đông lớn,,,,,
- Nguyễn Quốc Ánh,- Nguyễn Quốc Ánh,- Nguyễn Quốc Ánh,Cổ đông lớn,,,,,
-Công ty Cổ phần Đầu tư Hải thạch B.O.T,-Công ty Cổ phần Đầu tư Hải thạch B.O.T,-Công ty Cổ phần Đầu tư Hải thạch B.O.T,Cổ đông lớn,,,,,
