row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_1","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_2","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_3","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_4","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_5","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_1","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_2","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_3","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_4","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH VÔ HÌNH_5"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Quyền sử dụng đất,Quyền phát hành,Phần mềmvi tính,TSCĐvô hình khác,Cộng,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,
1. Số dư đầu kỳ,I. Nguyên giá > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,618.292.634,,45.000.000,,663.292.634,618292634.0,,45000000.0,,663292634.0
2. Số tăng trong kỳ- Mua trong kỳ- Tạo ra từ nội bộ DN- Tăng khác,2. Số tăng trong kỳ- Mua trong kỳ- Tạo ra từ nội bộ DN- Tăng khác,2. Số tăng trong kỳ- Mua trong kỳ- Tạo ra từ nội bộ DN- Tăng khác,,,,,,,,,,
"3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác",,,,,,,,,,
4. Số dư cuối kỳ,"3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác > 4. Số dư cuối kỳ",4. Số dư cuối kỳ,618.292.634,,45.000.000,,663.292.634,618292634.0,,45000000.0,,663292634.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,
1. Số dư đầu kỳ,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,38.679.049,,45.000.000,,83.679.049,38679049.0,,45000000.0,,83679049.0
2. Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,12.881.088,,,,12.881.088,12881088.0,,,,12881088.0
- Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,12.881.088,,,,12.881.088,12881088.0,,,,12881088.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
"3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác",,,,,,,,,,
4. Số dư cuối kỳ,"3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác > 4. Số dư cuối kỳ",4. Số dư cuối kỳ,51.560.137,,45.000.000,,96.560.137,51560137.0,,45000000.0,,96560137.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,
1. Tại ngày đầu kỳ,III. Giá trị còn lại > 1. Tại ngày đầu kỳ,1. Tại ngày đầu kỳ,579.613.585,,,,579.613.585,579613585.0,,,,579613585.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,566.732.497,,,,566.732.497,566732497.0,,,,566732497.0
