row_label_raw,row_label_full,"Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ",Năm nay,Năm trước > 3.421.619.485,numeric__Năm nay,numeric__Năm trước > 3.421.619.485
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,268.076.549,372.810.783,268076549.0,372810783.0
Các khoản khác,Các khoản khác,Các khoản khác,65.574.462,8.250.465,65574462.0,8250465.0
Cộng,Cộng,Cộng,333.651.011,3.802.680.733,333651011.0,3802680733.0
