row_label_raw,row_label_full,06 . PHẢI THU KHÁC,31/12/2020,31/12/2020_1,01/01/2020,01/01/2020_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__01/01/2020,numeric__01/01/2020_1
06 . PHẢI THU KHÁC,06 . PHẢI THU KHÁC,06 . PHẢI THU KHÁC,Gía trị,Dự phòng,Gía trị,Dự phòng,,,,
a) Ngắn hạn,06 . PHẢI THU KHÁC > a) Ngắn hạn,a) Ngắn hạn,165.975.402.365,,303.396.158.342,,165975402365.0,,303396158342.0,
Tạm ứng,06 . PHẢI THU KHÁC > Tạm ứng,Tạm ứng,6.532.842.735,,1.919.342.146,,6532842735.0,,1919342146.0,
"Ký cược, ký quỹ","06 . PHẢI THU KHÁC > Ký cược, ký quỹ","Ký cược, ký quỹ",100.000.000,,100.000.000,,100000000.0,,100000000.0,
Phải thu khác,06 . PHẢI THU KHÁC > Phải thu khác,Phải thu khác,159.342.559.630,,301.376.816.196,,159342559630.0,,301376816196.0,
+ Công ty CP Đầu tư Xây dựng Hải Thạch,06 . PHẢI THU KHÁC > + Công ty CP Đầu tư Xây dựng Hải Thạch,+ Công ty CP Đầu tư Xây dựng Hải Thạch,21.520.587,,21.520.587,,21520587.0,,21520587.0,
+ Công ty CP Đầu tư Xây dựng Hải Thạch - Trích trước doanh thu,06 . PHẢI THU KHÁC > + Công ty CP Đầu tư Xây dựng Hải Thạch - Trích trước doanh thu,+ Công ty CP Đầu tư Xây dựng Hải Thạch - Trích trước doanh thu,34.569.710.000,,,,34569710000.0,,,
+ Cục QL đường bộ III,06 . PHẢI THU KHÁC > + Cục QL đường bộ III,+ Cục QL đường bộ III,837.818.000,,837.818.000,,837818000.0,,837818000.0,
+ Công ty cổ phần Đầu tư TM Quốc Tế Hà Thành,06 . PHẢI THU KHÁC > + Công ty cổ phần Đầu tư TM Quốc Tế Hà Thành,+ Công ty cổ phần Đầu tư TM Quốc Tế Hà Thành,,,49.083.120.000,,,,49083120000.0,
+ Công ty CP Đầu tư Đèo Cả- Bảo hành công trình,06 . PHẢI THU KHÁC > + Công ty CP Đầu tư Đèo Cả- Bảo hành công trình,+ Công ty CP Đầu tư Đèo Cả- Bảo hành công trình,36.478.301.782,,36.482.224.782,,36478301782.0,,36482224782.0,
+ Công ty cổ phần Đầu tư Đèo Cả,06 . PHẢI THU KHÁC > + Công ty cổ phần Đầu tư Đèo Cả,+ Công ty cổ phần Đầu tư Đèo Cả,32.000.000.000,,173.300.000.000,,32000000000.0,,173300000000.0,
+ Công ty Cổ Phần Bot Bắc Giang Lạng Sơn,06 . PHẢI THU KHÁC > + Công ty Cổ Phần Bot Bắc Giang Lạng Sơn,+ Công ty Cổ Phần Bot Bắc Giang Lạng Sơn,55.300.000.000,,41.500.000.000,,55300000000.0,,41500000000.0,
+ Đối tượng khác,06 . PHẢI THU KHÁC > + Đối tượng khác,+ Đối tượng khác,135.209.261,,152.132.827,,135209261.0,,152132827.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,165.975.402.365,,303.396.158.342,,165975402365.0,,303396158342.0,
