row_label_raw,row_label_full,a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_1,a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_2,a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_3,a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_4,a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_5,a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_6,a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_7,numeric__a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_1,numeric__a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_2,numeric__a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_3,numeric__a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_4,numeric__a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_5,numeric__a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_6,numeric__a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo)_7
Năm nay,Năm nay,Năm nay,Bán hàng khác,Dịch vụ trung chuyển,Bất động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Vận hành thu phí,Xây dựng,Tổng cộng,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,7.484.711.640,12.256.638.637,2.070.775.458,273.882.087.781,57.490.029.421,191.579.031.010,544.763.273.947,7484711640.0,12256638637.0,2070775458.0,273882087781.0,57490029421.0,191579031010.0,544763273947.0
bán hàng và cung cấp dịch vụ,Năm nay > bán hàng và cung cấp dịch vụ,bán hàng và cung cấp dịch vụ,7.484.711.640,12.256.638.637,2.070.775.458,273.882.087.781,57.490.029.421,191.579.031.010,544.763.273.947,7484711640.0,12256638637.0,2070775458.0,273882087781.0,57490029421.0,191579031010.0,544763273947.0
Kết quả kinh doanh theo bộ phận,Năm nay > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,,,,,,,67.425.983.951,,,,,,,67425983951.0
Các chi phí không phân bổ theo bộ phận,Năm nay > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,(20.863.981.680),,,,,,,-20863981680.0
Lợi nhuận từ hoạt động kinh doanh,Năm nay > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,46.562.002.271,,,,,,,46562002271.0
Doanh thu hoạt động tài chính,Năm nay > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,28.620.814.527,,,,,,,28620814527.0
Chi phí tài chính,Năm nay > Chi phí tài chính,Chi phí tài chính,,,,,,,(29.789.067.552),,,,,,,-29789067552.0
Thu nhập khác,Năm nay > Thu nhập khác,Thu nhập khác,,,,,,,324.320.371,,,,,,,324320371.0
Chi phí khác,Năm nay > Chi phí khác,Chi phí khác,,,,,,,(333.651.011),,,,,,,-333651011.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nay > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(4.601.890.606),,,,,,,-4601890606.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,40.782.528.000,,,,,,,40782528000.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,(4.143.673.094),,,,,,,-4143673094.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,6.889.166.149,,,,,,,6889166149.0
- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,,,,,,,
01/01/2020,01/01/2020,01/01/2020,Bán hàng khác,Dịch vụ trung chuyển,Bất động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Vận hành thu phí,Xây dựng,Tổng cộng,,,,,,,
Tài sản bộ phận,01/01/2020 > Tài sản bộ phận,Tài sản bộ phận,20.176.117.900,12.974.997.440,7.928.640.442,1.568.084.315,,8.894.369.571,51.542.209.668,20176117900.0,12974997440.0,7928640442.0,1568084315.0,,8894369571.0,51542209668.0
Tài sản không phân bổ,01/01/2020 > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,2.779.613.261.542,,,,,,,2779613261542.0
Tổng tài sản,01/01/2020 > Tổng tài sản,Tổng tài sản,20.176.117.900,12.974.997.440,7.928.640.442,1.568.084.315,,8.894.369.571,2.831.155.471.210,20176117900.0,12974997440.0,7928640442.0,1568084315.0,,8894369571.0,2831155471210.0
Nợ phải trả bộ phận,01/01/2020 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,153.188.678.576,,80.956.191.003,234.144.869.579,,,,153188678576.0,,80956191003.0,234144869579.0
Nợ phải trả không phân bổ,01/01/2020 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,299.840.826.114,,,,,,,299840826114.0
Tổng nợ phải trả,01/01/2020 > Tổng nợ phải trả,Tổng nợ phải trả,,,,153.188.678.576,,80.956.191.003,533.985.695.693,,,,153188678576.0,,80956191003.0,533985695693.0
