row_label_raw,row_label_full,col_0,31/12/2020,%,01/01/2020,%_1,numeric__31/12/2020,numeric__%,numeric__01/01/2020,numeric__%_1
Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,37.892.550.000,"1,42%",37.892.550.000,"1,67%",37892550000.0,0.014199999999999999,37892550000.0,0.0167
- Công ty CP Tập Đoàn Đèo cà (*),- Công ty CP Tập Đoàn Đèo cà (*),- Công ty CP Tập Đoàn Đèo cà (*),37.892.550.000,"1,42%",37.892.550.000,"1,67%",37892550000.0,0.014199999999999999,37892550000.0,0.0167
Vốn góp của các đối tượng khác,Vốn góp của các đối tượng khác,Vốn góp của các đối tượng khác,2.635.948.350.000,"98,58%",2.232.198.350.000,"98,33%",2635948350000.0,0.9858,2232198350000.0,0.9833
- Hồ Minh Hoàng,- Hồ Minh Hoàng,- Hồ Minh Hoàng,18.000.000.000,"0,67%",18.000.000.000,"0,79%",18000000000.0,0.0067,18000000000.0,0.0079
- Công ty CP Đầu tư Hải Thạch B.O.T,- Công ty CP Đầu tư Hải Thạch B.O.T,- Công ty CP Đầu tư Hải Thạch B.O.T,1.317.831.250.000,"49,29%",914.081.250.000,"40,27%",1317831250000.0,0.4929,914081250000.0,0.40270000000000006
- Công ty CP Đầu tư Hạ tầng Miền Bắc,- Công ty CP Đầu tư Hạ tầng Miền Bắc,- Công ty CP Đầu tư Hạ tầng Miền Bắc,882.303.650.000,"33,00%",882.303.650.000,"38,87%",882303650000.0,0.33,882303650000.0,0.3887
- Công ty CP tập đoàn Hải Thạch,- Công ty CP tập đoàn Hải Thạch,- Công ty CP tập đoàn Hải Thạch,122.000.000.000,"4,56%",122.000.000.000,"5,37%",122000000000.0,0.045599999999999995,122000000000.0,0.0537
- Công ty CP Đầu tư thương mại Quốc tế Hà Thành,- Công ty CP Đầu tư thương mại Quốc tế Hà Thành,- Công ty CP Đầu tư thương mại Quốc tế Hà Thành,108.331.000.000,"4,05%",108.331.000.000,"4,77%",108331000000.0,0.0405,108331000000.0,0.04769999999999999
- Công ty CP BOT Hưng Phát,- Công ty CP BOT Hưng Phát,- Công ty CP BOT Hưng Phát,164.000.000.000,"6,13%",164.000.000.000,"7,22%",164000000000.0,0.0613,164000000000.0,0.0722
- Vốn góp của các đối tượng khác,- Vốn góp của các đối tượng khác,- Vốn góp của các đối tượng khác,23.482.450.000,"0,88%",23.482.450.000,"1,03%",23482450000.0,0.0088,23482450000.0,0.0103
Cộng,Cộng,Cộng,2.673.840.900.000,"100,00%",2.270.090.900.000,"100,00%",2673840900000.0,1.0,2270090900000.0,1.0
