row_label_raw,row_label_full,b) Vay dài hạn > Trên 1 năm đến 5 năm,31/12/2020 > Giá trị > 94.758.333.334,31/12/2020 > Số có khả năng trả nợ > 94.758.333.334,Trong năm > Tăng > 174.000.000.000,Trong năm > Giảm > 319.100.000.000,01/01/2020 > Giá trị > 239.858.333.334,01/01/2020 > Số có khả năng trả nợ > 239.858.333.334,numeric__31/12/2020 > Giá trị > 94.758.333.334,numeric__31/12/2020 > Số có khả năng trả nợ > 94.758.333.334,numeric__Trong năm > Tăng > 174.000.000.000,numeric__Trong năm > Giảm > 319.100.000.000,numeric__01/01/2020 > Giá trị > 239.858.333.334,numeric__01/01/2020 > Số có khả năng trả nợ > 239.858.333.334
- Vay dài hạn mua 3 chung cư,- Vay dài hạn mua 3 chung cư,- Vay dài hạn mua 3 chung cư,758.333.334,758.333.334,,1.300.000.000,2.058.333.334,2.058.333.334,758333334.0,758333334.0,,1300000000.0,2058333334.0,2058333334.0
- Công ty Cổ Phần,- Công ty Cổ Phần,- Công ty Cổ Phần,,,,,,,,,,,,
Tu Văn Xây dựng A2Z,- Công ty Cổ Phần > Tu Văn Xây dựng A2Z,Tu Văn Xây dựng A2Z,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0,,,
- Công ty cổ phần đầu tư Hạ tầng Miền Bắc,- Công ty Cổ Phần > - Công ty cổ phần đầu tư Hạ tầng Miền Bắc,- Công ty cổ phần đầu tư Hạ tầng Miền Bắc,92.000.000.000,92.000.000.000,92.000.000.000,,,,92000000000.0,92000000000.0,92000000000.0,,,
Công ty cổ phần Tập đoàn Đèo Cả,- Công ty Cổ Phần > Công ty cổ phần Tập đoàn Đèo Cả,Công ty cổ phần Tập đoàn Đèo Cả,,,80.000.000.000,317.800.000.000,237.800.000.000,237.800.000.000,,,80000000000.0,317800000000.0,237800000000.0,237800000000.0
Cộng,- Công ty Cổ Phần > Cộng,Cộng,94.758.333.334,94.758.333.334,174.000.000.000,319.100.000.000,239.858.333.334,239.858.333.334,94758333334.0,94758333334.0,174000000000.0,319100000000.0,239858333334.0,239858333334.0
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,31/12/2020,31/12/2020,01/01/2020,01/01/2020,,,,,,
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trả nợ,,,,,,
a) Ngắn hạn,14 . PHẢI TRẢ NGƯỜI BÁN > a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,166.742.868.656,166.742.868.656,104.254.218.959,104.254.218.959,,,166742868656.0,166742868656.0,104254218959.0,104254218959.0
Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,Công ty cổ phần dịch vụ bảo vệ hậu cần Thăng Long - Đèo cả,14.074.704.300,14.074.704.300,6.959.950.800,6.959.950.800,,,14074704300.0,14074704300.0,6959950800.0,6959950800.0
Công ty Cổ phần Tín Hùng Dũng,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty Cổ phần Tín Hùng Dũng,Công ty Cổ phần Tín Hùng Dũng,Công ty Cổ phần Tín Hùng Dũng,Công ty Cổ phần Tín Hùng Dũng,36.341.742,36.341.742,36.341.742,36.341.742,,,36341742.0,36341742.0,36341742.0,36341742.0
Công ty TNHH MTV xây dựng 99,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty TNHH MTV xây dựng 99,Công ty TNHH MTV xây dựng 99,Công ty TNHH MTV xây dựng 99,Công ty TNHH MTV xây dựng 99,652.980.334,652.980.334,1.707.015.145,1.707.015.145,,,652980334.0,652980334.0,1707015145.0,1707015145.0
Công ty TNHH Thủy Tùng Châu,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty TNHH Thủy Tùng Châu,Công ty TNHH Thủy Tùng Châu,Công ty TNHH Thủy Tùng Châu,Công ty TNHH Thủy Tùng Châu,412.000.000,412.000.000,1.556.765.000,1.556.765.000,,,412000000.0,412000000.0,1556765000.0,1556765000.0
Công ty Cổ phần đầu tư xây dựng Đường Việt,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty Cổ phần đầu tư xây dựng Đường Việt,Công ty Cổ phần đầu tư xây dựng Đường Việt,Công ty Cổ phần đầu tư xây dựng Đường Việt,Công ty Cổ phần đầu tư xây dựng Đường Việt,,,88.307.200,88.307.200,,,,,88307200.0,88307200.0
Nguyễn Văn Dung,14 . PHẢI TRẢ NGƯỜI BÁN > Nguyễn Văn Dung,Nguyễn Văn Dung,Nguyễn Văn Dung,Nguyễn Văn Dung,379.355.000,379.355.000,379.355.000,379.355.000,,,379355000.0,379355000.0,379355000.0,379355000.0
Công ty Cổ phần tập đoàn Đèo cả,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,15.409.277.220,15.409.277.220,779.553.495,779.553.495,,,15409277220.0,15409277220.0,779553495.0,779553495.0
Công ty CP Kỹ thuật công nghiệp Á Châu,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty CP Kỹ thuật công nghiệp Á Châu,Công ty CP Kỹ thuật công nghiệp Á Châu,Công ty CP Kỹ thuật công nghiệp Á Châu,Công ty CP Kỹ thuật công nghiệp Á Châu,3.363.988.375,3.363.988.375,3.363.988.375,3.363.988.375,,,3363988375.0,3363988375.0,3363988375.0,3363988375.0
Công ty CP Đầu tư và XD ICV Việt Nam,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty CP Đầu tư và XD ICV Việt Nam,Công ty CP Đầu tư và XD ICV Việt Nam,Công ty CP Đầu tư và XD ICV Việt Nam,Công ty CP Đầu tư và XD ICV Việt Nam,20.713.793.022,20.713.793.022,2.884.768.143,2.884.768.143,,,20713793022.0,20713793022.0,2884768143.0,2884768143.0
Công ty Cổ phần Thương mại xây dựng Ánh Lộc,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty Cổ phần Thương mại xây dựng Ánh Lộc,Công ty Cổ phần Thương mại xây dựng Ánh Lộc,Công ty Cổ phần Thương mại xây dựng Ánh Lộc,Công ty Cổ phần Thương mại xây dựng Ánh Lộc,4.345.700.000,4.345.700.000,9.995.700.000,9.995.700.000,,,4345700000.0,4345700000.0,9995700000.0,9995700000.0
Công ty CP XDTN điện & trang trí nội thất EMTC3,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty CP XDTN điện & trang trí nội thất EMTC3,Công ty CP XDTN điện & trang trí nội thất EMTC3,Công ty CP XDTN điện & trang trí nội thất EMTC3,Công ty CP XDTN điện & trang trí nội thất EMTC3,15.344.365.177,15.344.365.177,11.867.731.900,11.867.731.900,,,15344365177.0,15344365177.0,11867731900.0,11867731900.0
Công ty TNHH TM & XD Lâm Tùng Phương,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty TNHH TM & XD Lâm Tùng Phương,Công ty TNHH TM & XD Lâm Tùng Phương,Công ty TNHH TM & XD Lâm Tùng Phương,Công ty TNHH TM & XD Lâm Tùng Phương,14.733.684.000,14.733.684.000,6.542.230.000,6.542.230.000,,,14733684000.0,14733684000.0,6542230000.0,6542230000.0
Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,14 . PHẢI TRẢ NGƯỜI BÁN > Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,Công ty TNHH kỹ thuật kiểm định hiệu chỉnh Toàn Cầu,28.260.801.916,28.260.801.916,9.842.852.000,9.842.852.000,,,28260801916.0,28260801916.0,9842852000.0,9842852000.0
