row_label_raw,row_label_full,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC_1,12. CHI PHÍ TRẢ TRƯỚC_2,31/12/2020,01/01/2020,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__12. CHI PHÍ TRẢ TRƯỚC_1,numeric__12. CHI PHÍ TRẢ TRƯỚC_2,numeric__31/12/2020,numeric__01/01/2020,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,1.190.722.923,694.251.927,,,,,1190722923.0,694251927.0,,
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",936.823.258,151.324.406,,,,,936823258.0,151324406.0,,
"Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",253.899.665,542.927.521,,,,,253899665.0,542927521.0,,
Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,,,,,,,,,,
b) Dài hạn,Các khoản khác > b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,939.615.551,2.045.687.669,,,,,939615551.0,2045687669.0,,
"Công cụ, dụng cụ xuất dùng","Các khoản khác > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",,282.028.143,,,,,,282028143.0,,
"Chi phí sửa chữa, bảo hiểm xe","Các khoản khác > Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",8.985.712,23.851.740,,,,,8985712.0,23851740.0,,
Các khoản khác,Các khoản khác > Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,559.427.099,1.010.287.365,,,,,559427099.0,1010287365.0,,
Chi phí xây dựng cơ bản dở dang,Các khoản khác > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,371.202.740,729.520.421,,,,,371202740.0,729520421.0,,
Cộng,Các khoản khác > Cộng,Cộng,Cộng,Cộng,2.130.338.474,2.739.939.596,,,,,2130338474.0,2739939596.0,,
