row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Chênh lệch tỷ giá,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,79.375.000.000,(289.680.000),(96.640.000),1.882.651.379,20.579.384.963,101.450.716.342,79375000000.0,-289680000.0,-96640000.0,1882651379.0,20579384963.0,101450716342.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,2.190.715.900.000,,,,,2.190.715.900.000,2190715900000.0,,,,,2190715900000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,,,,16.512.246.439,16.512.246.439,,,,,16512246439.0,16512246439.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,,1.317.445.664,,1.317.445.664,,,,1317445664.0,,1317445664.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Giảm vốn trong năm trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(2.634.891.328),(2.634.891.328),,,,,-2634891328.0,-2634891328.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,,,,,,,,,,,,
Chia cổ tức,Lỗ trong năm trước > Chia cổ tức,Chia cổ tức,,,,,(10.288.281.600),(10.288.281.600),,,,,-10288281600.0,-10288281600.0
Giảm khác,Lỗ trong năm trước > Giảm khác,Giảm khác,,289.680.000,96.640.000,,(289.680.000),96.640.000,,289680000.0,96640000.0,,-289680000.0,96640000.0
Số dư đầu kỳ nay,Lỗ trong năm trước > Số dư đầu kỳ nay,Số dư đầu kỳ nay,2.270.090.900.000,,,3.200.097.043,23.878.778.474,2.297.169.775.517,2270090900000.0,,,3200097043.0,23878778474.0,2297169775517.0
Tăng vốn trong kỳ nay,Lỗ trong năm trước > Tăng vốn trong kỳ nay,Tăng vốn trong kỳ nay,403.750.000.000,,,,,403.750.000.000,403750000000.0,,,,,403750000000.0
Lãi trong kỳ nay,Lỗ trong năm trước > Lãi trong kỳ nay,Lãi trong kỳ nay,,,,,40.782.528.000,40.782.528.000,,,,,40782528000.0,40782528000.0
Tăng do trích từ lợi nhuận,Lỗ trong năm trước > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,,1.651.224.644,,1.651.224.644,,,,1651224644.0,,1651224644.0
Trích quỹ từ lợi nhuận,Lỗ trong năm trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(3.302.449.288),(3.302.449.288),,,,,-3302449288.0,-3302449288.0
Giảm vốn trong kỳ nay,Giảm vốn trong kỳ nay,Giảm vốn trong kỳ nay,,,,,,,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,
Giảm khác,Chia cổ tức > Giảm khác,Giảm khác,,(208.000.000),,,(28.132.698),(236.132.698),,-208000000.0,,,-28132698.0,-236132698.0
Số dư cuối kỳ nay,Chia cổ tức > Số dư cuối kỳ nay,Số dư cuối kỳ nay,2.673.840.900.000,(208.000.000),,4.851.321.687,61.330.724.488,2.739.814.946.175,2673840900000.0,-208000000.0,,4851321687.0,61330724488.0,2739814946175.0
