row_label_raw,row_label_full,14. PHẢI TRẢ NGƯỜI BÁN,14. PHẢI TRẢ NGƯỜI BÁN_1,14. PHẢI TRẢ NGƯỜI BÁN_2,14. PHẢI TRẢ NGƯỜI BÁN_3,14. PHẢI TRẢ NGƯỜI BÁN_4,numeric__14. PHẢI TRẢ NGƯỜI BÁN_1,numeric__14. PHẢI TRẢ NGƯỜI BÁN_2,numeric__14. PHẢI TRẢ NGƯỜI BÁN_3,numeric__14. PHẢI TRẢ NGƯỜI BÁN_4
,,,31/12/2020,31/12/2020,01/01/2020,01/01/2020,,,,
,,,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trả nợ,,,,
a) Ngắn hạn ( tiếp theo),a) Ngắn hạn ( tiếp theo),a) Ngắn hạn ( tiếp theo),,,,,,,,
Công ty CP xây dựng Đại Thành,a) Ngắn hạn ( tiếp theo) > Công ty CP xây dựng Đại Thành,Công ty CP xây dựng Đại Thành,3.375.133.010,3.375.133.010,3.375.133.010,3.375.133.010,3375133010.0,3375133010.0,3375133010.0,3375133010.0
Công ty xăng dầu Tiền Giang,a) Ngắn hạn ( tiếp theo) > Công ty xăng dầu Tiền Giang,Công ty xăng dầu Tiền Giang,656.002.154,656.002.154,2.078.619.884,2.078.619.884,656002154.0,656002154.0,2078619884.0,2078619884.0
Phải trả cho các đối tượng khác,a) Ngắn hạn ( tiếp theo) > Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,44.984.742.406,44.984.742.406,42.795.907.265,42.795.907.265,44984742406.0,44984742406.0,42795907265.0,42795907265.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,166.742.868.656,166.742.868.656,104.254.218.959,104.254.218.959,166742868656.0,166742868656.0,104254218959.0,104254218959.0
c) Số nợ quá hạn chưa thanh toán: Không có,c) Số nợ quá hạn chưa thanh toán: Không có,c) Số nợ quá hạn chưa thanh toán: Không có,,,,,,,,
d) Phải trả người bán là các bên liên quan: Xem Phụ lục 1,d) Phải trả người bán là các bên liên quan: Xem Phụ lục 1,d) Phải trả người bán là các bên liên quan: Xem Phụ lục 1,,,,,,,,
15. NGƯỜI MUA TRẢ TIỀN TRƯỚC,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC,,,,
,,,31/12/2020,01/01/2020,,,,,,
a) Ngắn hạn,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > a) Ngắn hạn,a) Ngắn hạn,108.803.239.940,13.671.606.067,,,108803239940.0,13671606067.0,,
Công ty xăng dầu Bình Định,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty xăng dầu Bình Định,Công ty xăng dầu Bình Định,3.000.000.000,3.000.000.000,,,3000000000.0,3000000000.0,,
Công ty Cổ phần tập đoàn Đèo cả,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty Cổ phần tập đoàn Đèo cả,Công ty Cổ phần tập đoàn Đèo cả,65.640.993.207,,,,65640993207.0,,,
Công ty CP XD công trình Ngầm,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty CP XD công trình Ngầm,Công ty CP XD công trình Ngầm,1.495.821.371,1.495.821.371,,,1495821371.0,1495821371.0,,
Công ty CP XD và TM Nhật Thành,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty CP XD và TM Nhật Thành,Công ty CP XD và TM Nhật Thành,,225.000.000,,,,225000000.0,,
Công ty xăng dầu khu vực V,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty xăng dầu khu vực V,Công ty xăng dầu khu vực V,3.000.000.000,3.000.000.000,,,3000000000.0,3000000000.0,,
Tổng công ty xây dựng Lũng Lô,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Tổng công ty xây dựng Lũng Lô,Tổng công ty xây dựng Lũng Lô,2.475.005.925,2.475.005.925,,,2475005925.0,2475005925.0,,
CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,2.587.489.000,2.587.489.000,,,2587489000.0,2587489000.0,,
Đối tượng khác,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Đối tượng khác,Đối tượng khác,30.603.930.437,888.289.771,,,30603930437.0,888289771.0,,
b) Dài hạn,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > b) Dài hạn,b) Dài hạn,10.211.507.100,,,,10211507100.0,,,
Công ty Cổ phần Đầu tư Đèo cả,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Công ty Cổ phần Đầu tư Đèo cả,Công ty Cổ phần Đầu tư Đèo cả,10.211.507.100,,,,10211507100.0,,,
Cộng,15. NGƯỜI MUA TRẢ TIỀN TRƯỚC > Cộng,Cộng,119.014.747.040,13.671.606.067,,,119014747040.0,13671606067.0,,
