row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Giá vốn bất động sản đã chuyển nhượng,Giá vốn bất động sản đã chuyển nhượng,Giá vốn bất động sản đã chuyển nhượng,755.112.575.090,1.387.542.356.900,755112575090.0,1387542356900.0
Giá vốn cung cấp dịch vụ lưu trú,Giá vốn cung cấp dịch vụ lưu trú,Giá vốn cung cấp dịch vụ lưu trú,91.619.980.381,97.853.664.577,91619980381.0,97853664577.0
Giá vốn cung cấp dịch vụ khác,Giá vốn cung cấp dịch vụ khác,Giá vốn cung cấp dịch vụ khác,44.193.210.814,75.506.818.638,44193210814.0,75506818638.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,890.925.766.285,1.560.902.840.115,890925766285.0,1560902840115.0
