row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,28.353.796.283,91.065.756.207,(85.950.640.946),33.468.911.544,28353796283.0,91065756207.0,-85950640946.0,33468911544.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.512.543.539,11.860.176.586,(11.836.890.799),1.535.829.326,1512543539.0,11860176586.0,-11836890799.0,1535829326.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,26.998.157.051,76.234.243.104,(30.953.379.681),72.279.020.474,26998157051.0,76234243104.0,-30953379681.0,72279020474.0
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,-,218.160.855.217,(218.160.855.217),-,,218160855217.0,-218160855217.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,3.736.911.271,(3.736.911.271),-,,3736911271.0,-3736911271.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,56.864.496.873,401.057.942.385,(350.638.677.914),107.283.761.344,56864496873.0,401057942385.0,-350638677914.0,107283761344.0
,,,Số đầu năm,Số phải thu trong năm,Số đã bù trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,84.344.422,26.890.487.773,(26.890.487.773),84.344.422,84344422.0,26890487773.0,-26890487773.0,84344422.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,84.344.422,26.890.487.773,(26.890.487.773),84.344.422,84344422.0,26890487773.0,-26890487773.0,84344422.0
