row_label_raw,row_label_full,Ông Phạm Hồng Châu > Ông Triệu Hữu Đại > Ông Tô Như Thắng,Tổng Giám đốc > Phó Tổng Giám đốc,bổ nhiệm ngày 6 tháng 6 năm 2025 > miễn nhiệm ngày 6 tháng 6 năm 2025 > bổ nhiệm ngày 23 tháng 4 năm 2025,numeric__Tổng Giám đốc > Phó Tổng Giám đốc,numeric__bổ nhiệm ngày 6 tháng 6 năm 2025 > miễn nhiệm ngày 6 tháng 6 năm 2025 > bổ nhiệm ngày 23 tháng 4 năm 2025
,,,thường trực,,,
Ông Vũ Thanh Tuấn,Ông Vũ Thanh Tuấn,Ông Vũ Thanh Tuấn,Phó Tổng Giám đốc,,,
Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Ông Lâm Hoàng Đăng,Phó Tổng Giám đốc,,,
Ông Phạm Hồng Long,Ông Phạm Hồng Long,Ông Phạm Hồng Long,Phó Tổng Giám đốc,bổ nhiệm ngày 14 tháng 1 năm 2025,,
Bà Nguyễn Thị Hồng Hải,Bà Nguyễn Thị Hồng Hải,Bà Nguyễn Thị Hồng Hải,Phó Tổng Giám đốc,bổ nhiệm ngày 14 tháng 1 năm 2026,,
Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Phó Tổng Giám đốc,bổ nhiệm ngày 9 tháng 3 năm 2026,,
Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Phó Tổng Giám đốc,miễn nhiệm ngày 14 tháng 1 năm 2026,,
Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Bà Phan Lê Mỹ Hạnh,Phó Tổng Giám đốc,miễn nhiệm ngày 30 tháng 11 năm 2025,,
