row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,494.401.123.038,46.834.308.365,23.139.459.091,3.859.770.788,70.765.279.779,638.999.941.061,494401123038.0,46834308365.0,23139459091.0,3859770788.0,70765279779.0,638999941061.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,167.792.135,2.890.432.728,214.659.090,-,3.272.883.953,,167792135.0,2890432728.0,214659090.0,,3272883953.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.450.800.000),-,-,(2.450.800.000),,,-2450800000.0,,,-2450800000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,494.401.123.038,47.002.100.500,23.579.091.819,4.074.429.878,70.765.279.779,639.822.025.014,494401123038.0,47002100500.0,23579091819.0,4074429878.0,70765279779.0,639822025014.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,1.633.531.417,7.285.349.090,3.329.393.567,5.087.196.045,17.335.470.119,,1633531417.0,7285349090.0,3329393567.0,5087196045.0,17335470119.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,55.525.626.143,13.755.742.806,17.038.638.842,3.602.593.836,24.838.475.592,114.761.077.219,55525626143.0,13755742806.0,17038638842.0,3602593836.0,24838475592.0,114761077219.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.050.568.904,3.452.940.808,2.650.512.391,153.323.345,6.090.680.247,23.398.025.695,11050568904.0,3452940808.0,2650512391.0,153323345.0,6090680247.0,23398025695.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.450.800.000),-,-,(2.450.800.000),,,-2450800000.0,,,-2450800000.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,66.576.195.047,17.208.683.614,17.238.351.233,3.755.917.181,30.929.155.839,135.708.302.914,66576195047.0,17208683614.0,17238351233.0,3755917181.0,30929155839.0,135708302914.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,438.875.496.895,33.078.565.559,6.100.820.249,257.176.952,45.926.804.187,524.238.863.842,438875496895.0,33078565559.0,6100820249.0,257176952.0,45926804187.0,524238863842.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,427.824.927.991,29.793.416.886,6.340.740.586,318.512.697,39.836.123.940,504.113.722.100,427824927991.0,29793416886.0,6340740586.0,318512697.0,39836123940.0,504113722100.0
