row_label_raw,row_label_full,Công ty TNHH MTV Đầu tư Văn Phú – Giàng Võ,Công ty con,Vay ngắn hạn (*),30.500.000.000,col_4,numeric__Công ty con,numeric__Vay ngắn hạn (*),numeric__30.500.000.000,numeric__col_4
Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty con,Vay ngắn hạn (*),19.840.000.000,,,,19840000000.0,
Lâm Hoàng Đăng,Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng giám đốc,Vay ngắn hạn (*),4.492.437.500,,,,4492437500.0,
Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT/ Phó Tổng giám đốc,Vay ngắn hạn (*),-,7.040.000.000,,,,7040000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,54.832.437.500,7.040.000.000,,,54832437500.0,7040000000.0
