row_label_raw,row_label_full,STT,Tên Công ty,Tỷ lệ lợi ích (%),Tỷ lệ biểu quyết(%),Trụ sở chính,Hoạt động chính,numeric__Tên Công ty,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ biểu quyết(%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty TNHH MTV Đầu tư Văn Phú - Giảng Võ,100%,100%,"Số 104 Thái Thịnh, Phường Đồng Đa, Thành phố Hà Nội",Kinh doanh bất động sản,,1.0,1.0,,
2,2,2,Công ty Cổ phần Đầu tư Grand Home,62%,62%,"Số 104 Thái Thịnh, Phường Đồng Đa, Thành phố Hà Nội","Kinh doanh bất động sản, xây lắp",,0.62,0.62,,
3,3,3,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,"82,71%","82,71%","Số 104 Thái Thịnh, Phường Đồng Đa, Thành phố Hà Nội",Kinh doanh bất động sản,,0.8271,0.8271,,
4,4,4,Công ty Cổ phần Văn Phú Bắc Ái,60%,60%,"Số 129 Lê Văn Duyệt, Phường Gia Định, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,,0.6,0.6,,
5,5,5,Công ty TNHH Văn Phú Resort – Lộc Bình,100%,100%,"Đường số 7, Khu đô thị mới An Cựu, Phường An Cựu, Thành phố Huế",Kinh doanh bất động sản,,1.0,1.0,,
6,6,6,Công ty Cổ phần Đầu tư Xây dựng New Tech,99%,99%,"Số 49 Phạm Ngọc Thạch, Phường Xuân Hòa, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,,0.99,0.99,,
7,7,7,Công ty Cổ phần Văn Phú Homes,70%,70%,"Số 104 Thái Thịnh, Phường Đồng Đa, Thành phố Hà Nội","Tư vấn, môi giới, đầu giá bất động sản",,0.7,0.7,,
