row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giám,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giám,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,23.1,175.157.938.359,175.157.938.359,124.652.082.235,(175.157.938.359),124.652.082.235,124.652.082.235,231.0,175157938359.0,175157938359.0,124652082235.0,-175157938359.0,124652082235.0,124652082235.0
Vay đổi tượng khác,Vay ngắn hạn > Vay đổi tượng khác,Vay đổi tượng khác,23.2,110.157.499.988,110.157.499.988,114.883.640.502,(98.434.749.993),126.606.390.497,126.606.390.497,232.0,110157499988.0,110157499988.0,114883640502.0,-98434749993.0,126606390497.0,126606390497.0
Trải phiếu phát hành dài hạn đến hạn trả,Vay ngắn hạn > Trải phiếu phát hành dài hạn đến hạn trả,Trải phiếu phát hành dài hạn đến hạn trả,23.3,240.332.952.558,240.332.952.558,149.353.173.129,(240.800.000.000),148.886.125.687,148.886.125.687,233.0,240332952558.0,240332952558.0,149353173129.0,-240800000000.0,148886125687.0,148886125687.0
Vay ngân hàng dài hạn đến hạn trả,Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,23.1,226.734.728.192,226.734.728.192,24.537.000.000,(251.271.728.192),-,-,231.0,226734728192.0,226734728192.0,24537000000.0,-251271728192.0,,
Vay đổi tượng khác dài hạn đến hạn trả,Vay ngắn hạn > Vay đổi tượng khác dài hạn đến hạn trả,Vay đổi tượng khác dài hạn đến hạn trả,23.2,33.150.000.000,33.150.000.000,45.792.187.500,(53.915.000.000),25.027.187.500,25.027.187.500,232.0,33150000000.0,33150000000.0,45792187500.0,-53915000000.0,25027187500.0,25027187500.0
Vay ngắn hạn bên liên quan,Vay ngắn hạn > Vay ngắn hạn bên liên quan,Vay ngắn hạn bên liên quan,32,7.040.000.000,7.040.000.000,266.992.437.500,(219.200.000.000),54.832.437.500,54.832.437.500,32.0,7040000000.0,7040000000.0,266992437500.0,-219200000000.0,54832437500.0,54832437500.0
,,,,792.573.119.097,792.573.119.097,726.210.520.866,(1.038.779.416.544),480.004.223.419,480.004.223.419,,792573119097.0,792573119097.0,726210520866.0,-1038779416544.0,480004223419.0,480004223419.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,23.1,308.787.334.875,308.787.334.875,-,(104.129.487.011),204.657.847.864,204.657.847.864,231.0,308787334875.0,308787334875.0,,-104129487011.0,204657847864.0,204657847864.0
Vay đổi tượng khác,Vay dài hạn > Vay đổi tượng khác,Vay đổi tượng khác,23.2,27.915.000.000,27.915.000.000,20.877.187.500,(48.792.187.500),-,-,232.0,27915000000.0,27915000000.0,20877187500.0,-48792187500.0,,
Trải phiếu phát hành,Vay dài hạn > Trải phiếu phát hành,Trải phiếu phát hành,23.3,1.035.716.610.655,1.035.716.610.655,675.460.223.314,(147.734.705.051),1.563.442.128.918,1.563.442.128.918,233.0,1035716610655.0,1035716610655.0,675460223314.0,-147734705051.0,1563442128918.0,1563442128918.0
,,,,1.372.418.945.530,1.372.418.945.530,696.337.410.814,(300.656.379.562),1.768.099.976.782,1.768.099.976.782,,1372418945530.0,1372418945530.0,696337410814.0,-300656379562.0,1768099976782.0,1768099976782.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,2.164.992.064.627,2.164.992.064.627,1.422.547.931.680,(1.339.435.796.106),2.248.104.200.201,2.248.104.200.201,,2164992064627.0,2164992064627.0,1422547931680.0,-1339435796106.0,2248104200201.0,2248104200201.0
