row_label_raw,row_label_full,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Kinh doanh bất động sản > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Dịch vụ lưu trú > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Các hoạt động khác > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Đơn vị tính: VND > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,numeric__Kinh doanh bất động sản > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,numeric__Dịch vụ lưu trú > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,numeric__Các hoạt động khác > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,numeric__Đơn vị tính: VND > Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,1.135.675.536.045,185.584.501.557,81.168.284.585,1.402.428.322.187,1135675536045.0,185584501557.0,81168284585.0,1402428322187.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,211.993.582.285,64.597.339.181,24.915.161.142,301.506.082.608,211993582285.0,64597339181.0,24915161142.0,301506082608.0
Thu nhập không phân bổ (*),Kết quả > Thu nhập không phân bổ (*),Thu nhập không phân bổ (*),,,,180.987.864.551,,,,180987864551.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,482.493.947.159,,,,482493947159.0
Thuế thu nhập doanh nghiệp,Kết quả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,(73.508.333.113),,,,-73508333113.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,408.985.614.046,,,,408985614046.0
Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,,,,
Chi phí hình thành tài sản cố định,Các thông tin bổ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,5.582.991.596,167.792.135,-,5.750.783.731,5582991596.0,167792135.0,,5750783731.0
Khấu hao và hao mòn tài sản cố định,Các thông tin bổ phận khác > Khấu hao và hao mòn tài sản cố định,Khấu hao và hao mòn tài sản cố định,11.549.596.836,20.888.051.107,4.130.969.853,36.568.617.796,11549596836.0,20888051107.0,4130969853.0,36568617796.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tái sản bộ phận,Tài sản và công nợ > Tái sản bộ phận,Tái sản bộ phận,1.666.351.726.002,518.764.678.552,397.477.683.058,2.582.594.087.612,1666351726002.0,518764678552.0,397477683058.0,2582594087612.0
Tái sản không phân bổ (**),Tài sản và công nợ > Tái sản không phân bổ (**),Tái sản không phân bổ (**),,,,6.073.732.747.235,,,,6073732747235.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,8.656.326.834.847,,,,8656326834847.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,736.541.027.986,34.852.615.672,9.947.852.319,781.341.495.977,736541027986.0,34852615672.0,9947852319.0,781341495977.0
Công nợ không phân bổ (***),Tài sản và công nợ > Công nợ không phân bổ (***),Công nợ không phân bổ (***),,,,2.519.956.773.685,,,,2519956773685.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,3.301.298.269.662,,,,3301298269662.0
Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,
Doanh thu thuần,Tại ngày và cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Doanh thu thuần,Doanh thu thuần,1.572.183.663.993,179.530.200.796,105.690.013.288,1.857.403.878.077,1572183663993.0,179530200796.0,105690013288.0,1857403878077.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,Lợi nhuận/(lỗ) thuần trước thuế của bộ phận,109.170.641.283,34.157.704.473,28.054.633.846,171.382.979.602,109170641283.0,34157704473.0,28054633846.0,171382979602.0
Thu nhập không phân bổ (*),Kết quả > Thu nhập không phân bổ (*),Thu nhập không phân bổ (*),,,,225.330.359.849,,,,225330359849.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,396.713.339.451,,,,396713339451.0
Thuế thu nhập doanh nghiệp,Kết quả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,(36.056.978.181),,,,-36056978181.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,360.656.361.270,,,,360656361270.0
Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,Các thông tin bổ phận khác,,,,
Chi phí hình thành tài sản cố định,Các thông tin bổ phận khác > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,1.415.880.673,221.542.173,-,1.637.422.846,1415880673.0,221542173.0,,1637422846.0
Khấu hao và hao mòn tài sản cố định,Các thông tin bổ phận khác > Khấu hao và hao mòn tài sản cố định,Khấu hao và hao mòn tài sản cố định,11.549.596.836,21.321.127.184,4.239.058.113,37.109.782.133,11549596836.0,21321127184.0,4239058113.0,37109782133.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tái sản bộ phận,Tài sản và công nợ > Tái sản bộ phận,Tái sản bộ phận,2.440.200.953.381,554.477.557.918,440.943.513.196,3.435.622.024.495,2440200953381.0,554477557918.0,440943513196.0,3435622024495.0
Tái sản không phân bổ (**),Tài sản và công nợ > Tái sản không phân bổ (**),Tái sản không phân bổ (**),,,,4.527.923.433.421,,,,4527923433421.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,7.963.545.457.916,,,,7963545457916.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,625.152.403.086,32.227.762.912,15.463.469.540,672.843.635.538,625152403086.0,32227762912.0,15463469540.0,672843635538.0
Công nợ không phân bổ (***),Tài sản và công nợ > Công nợ không phân bổ (***),Công nợ không phân bổ (***),,,,2.344.658.871.239,,,,2344658871239.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,3.017.502.506.777,,,,3017502506777.0
