row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.402.428.322.187,1.857.403.878.077,1402428322187.0,1857403878077.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,1.135.675.536.045,1.572.183.663.993,1135675536045.0,1572183663993.0
Doanh thu cung cấp dịch vụ lưu trú,Trong đó: > Doanh thu cung cấp dịch vụ lưu trú,Doanh thu cung cấp dịch vụ lưu trú,185.584.501.557,179.530.200.796,185584501557.0,179530200796.0
Doanh thu cung cấp dịch vụ khác,Trong đó: > Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,81.168.284.585,105.690.013.288,81168284585.0,105690013288.0
Giảm trừ doanh thu,Giảm trừ doanh thu,Giảm trừ doanh thu,-,-,,
Doanh thu thuần,Giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,1.402.428.322.187,1.857.403.878.077,1402428322187.0,1857403878077.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,1.135.675.536.045,1.572.183.663.993,1135675536045.0,1572183663993.0
Doanh thu cung cấp dịch vụ lưu trú,Trong đó: > Doanh thu cung cấp dịch vụ lưu trú,Doanh thu cung cấp dịch vụ lưu trú,185.584.501.557,179.530.200.796,185584501557.0,179530200796.0
Doanh thu cung cấp dịch vụ khác,Trong đó: > Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,81.168.284.585,105.690.013.288,81168284585.0,105690013288.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,1.282.281.106.299,1.846.182.916.714,1282281106299.0,1846182916714.0
Doanh thu đối với các bên liên quan(Thuyết minh số 32),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 32),Doanh thu đối với các bên liên quan(Thuyết minh số 32),120.767.359.888,11.220.961.363,120767359888.0,11220961363.0
