row_label_raw,row_label_full,Các bên liên quan > Công ty Cổ phần Union Success Việt Nam,Môi quan hệ > Công ty con,Nôi dung nghiệp vụ > Cho vay > Thu hồi gốc cho vay > Góp vốn > Doanh thu cung cấp dịch vụ > Lãi cho vay,Năm nay > 186.050.000.000 > 171.375.000.000 > 150.000.000.000 > 35.435.126.274 > 11.618.242.195,Năm trước > 94.075.000.000 > 450.900.000.000 > - > 295.018.418 > 14.172.770.356,numeric__Môi quan hệ > Công ty con,numeric__Nôi dung nghiệp vụ > Cho vay > Thu hồi gốc cho vay > Góp vốn > Doanh thu cung cấp dịch vụ > Lãi cho vay,numeric__Năm nay > 186.050.000.000 > 171.375.000.000 > 150.000.000.000 > 35.435.126.274 > 11.618.242.195,numeric__Năm trước > 94.075.000.000 > 450.900.000.000 > - > 295.018.418 > 14.172.770.356
Công ty Cổ phần Văn Phú - Bắc Ái,Công ty Cổ phần Văn Phú - Bắc Ái,Công ty Cổ phần Văn Phú - Bắc Ái,Công ty con,Góp vốn hợp tác đầu tư,3.703.538.868,151.650.000.000,,,3703538868.0,151650000000.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Thu hồi gốc cho vay,8.400.000.000,5.800.000.000,,,8400000000.0,5800000000.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Lãi cho vay,8.012.238.358,9.149.636.305,,,8012238358.0,9149636305.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Doanh thu cung cấp dịch vụ,1.065.616.124,1.180.403.927,,,1065616124.0,1180403927.0
Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty Cổ phần Đầu tư Grand Home,Công ty con,Thu tiền từ cung cấp dịch vụ,289.069.421,577.783.800,,,289069421.0,577783800.0
Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty con,Doanh thu cung cấp dịch vụ,2.900.964.470,6.328.004.077,,,2900964470.0,6328004077.0
Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty con,Mua dịch vụ,1.738.740.000,-,,,1738740000.0,
Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty con,Trả tiền cung cấp dịch vụ,1.606.219.200,-,,,1606219200.0,
Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty Cổ phần Đầu tư Bát động sản Tân Trí,Công ty con,Thu tiền từ cung cấp dịch vụ,-,6.000.000.000,,,,6000000000.0
Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Thu tiền từ cung cấp dịch vụ,16.650.711.068,-,,,16650711068.0,
Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Doanh thu cung cấp dịch vụ,8.986.229.333,767.809.556,,,8986229333.0,767809556.0
Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Mua dịch vụ,6.226.998.487,3.048.521.096,,,6226998487.0,3048521096.0
Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Trả tiền mua dịch vụ,3.901.596.993,3.180.776.545,,,3901596993.0,3180776545.0
Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Góp vốn,3.630.000.000,-,,,3630000000.0,
Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,Công ty Cổ phần Văn Phú - B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Thu tiền cổ tức,350.000.000,-,,,350000000.0,
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty con,Góp vốn,7.500.000.000,9.000.000.000,,,7500000000.0,9000000000.0
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty con,Mua dịch vụ,2.634.231.000,2.557.728.258,,,2634231000.0,2557728258.0
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty con,Trả tiền mua dịch vụ,2.328.748.400,3.666.230.983,,,2328748400.0,3666230983.0
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty con,Thu tiền từ cung cấp dịch vụ,1.950.255.884,-,,,1950255884.0,
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty con,Doanh thu cung cấp dịch vụ,500.832.000,455.418.596,,,500832000.0,455418596.0
Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty con,Đi vay,54.500.000.000,-,,,54500000000.0,
Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty con,Trả nợ gốc vay,34.660.000.000,-,,,34660000000.0,
Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty con,Lãi đi vay,2.176.382.465,-,,,2176382465.0,
Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty con,Doanh thu cung cấp dịch vụ,342.019.770,-,,,342019770.0,
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Góp vốn,752.700.000.000,-,,,752700000000.0,
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Cho vay,-,2.190.000.000,,,,2190000000.0
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Thu hồi gốc cho vay,-,2.190.000.000,,,,2190000000.0
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Trả tiền lãi đi vay,-,3.970.000.000,,,,3970000000.0
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Lãi cho vay,-,150.651.780,,,,150651780.0
Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Thu tiền lãi cho vay,-,150.290.000,,,,150290000.0
Công ty Cổ phần Dịch vụ Thương mại Bất động sản Tân Phú,Công ty Cổ phần Dịch vụ Thương mại Bất động sản Tân Phú,Công ty Cổ phần Dịch vụ Thương mại Bất động sản Tân Phú,Công ty liên kết,Góp vốn,545.000.000.000,-,,,545000000000.0,
Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty con,Góp vốn,14.000.000.000,-,,,14000000000.0,
Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty Cổ phần Văn Phú Homes,Công ty con,Doanh thu cung cấp dịch vụ,214.480.000,-,,,214480000.0,
