row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 22),Đơn vị tính: VND > Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 22),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 22),Đơn vị tính: VND > Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 22),Đơn vị tính: VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Đơn vị tính: VND > Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Đơn vị tính: VND > Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Đơn vị tính: VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 22)
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty liên kết,Nhận góp vốn hợp tác đầu tư,7.000.000.000,7.762.300.021,,,7000000000.0,7762300021.0
Hội đồng quản trị,Hội đồng quản trị,Hội đồng quản trị,,Phải trả thù lao,216.000.000,216.000.000,,,216000000.0,216000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.216.000.000,7.978.300.021,,,7216000000.0,7978300021.0
Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),,,,
Đặng Tuấn Anh,Phải trả dài hạn khác (Thuyết minh số 22) > Đặng Tuấn Anh,Đặng Tuấn Anh,Thành viên HĐQT của công ty con,Nhận góp vốn hợp tác đầu tư (*),77.988.704.559,77.988.704.559,,,77988704559.0,77988704559.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,77.988.704.559,77.988.704.559,,,77988704559.0,77988704559.0
