row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng > Số cuối năm,Bảng cân đối kế toán riêng > Số đầu năm,Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh riêng > Năm nay,Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh riêng > Năm trước,numeric__Bảng cân đối kế toán riêng > Số cuối năm,numeric__Bảng cân đối kế toán riêng > Số đầu năm,numeric__Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh riêng > Năm nay,numeric__Đơn vị tính: VNDBáo cáo kết quả hoạt động kinh doanh riêng > Năm trước
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế TNDN hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,3.512.937.322,499.356.600,3.013.580.722,(2.274.292.049),3512937322.0,499356600.0,3013580722.0,-2274292049.0
Chi phí lãi vay được vốn hóa,Tài sản thuế TNDN hoãn lại > Chi phí lãi vay được vốn hóa,Chi phí lãi vay được vốn hóa,13.823.749.612,14.422.892.501,(599.142.889),14.422.892.501,13823749612.0,14422892501.0,-599142889.0,14422892501.0
Chi phí tư vấn,Tài sản thuế TNDN hoãn lại > Chi phí tư vấn,Chi phí tư vấn,2.158.751.911,4.754.712.935,(2.595.961.024),(2.564.849.913),2158751911.0,4754712935.0,-2595961024.0,-2564849913.0
,,,19.495.438.845,19.676.962.036,,,19495438845.0,19676962036.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế TNDN hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(3.423.629.077),(6.175.062.259),2.751.433.182,4.090.923.240,-3423629077.0,-6175062259.0,2751433182.0,4090923240.0
Chi phí lãi trái phiếu chuyển đổi,Thuế TNDN hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,-,-,-,5.844.471.989,,,,5844471989.0
,,,(3.423.629.077),(6.175.062.259),,,-3423629077.0,-6175062259.0,,
Tài sản thuế TNDN hoãn lại thuần,Thuế TNDN hoãn lại phải trả > Tài sản thuế TNDN hoãn lại thuần,Tài sản thuế TNDN hoãn lại thuần,16.071.809.768,13.501.899.777,,,16071809768.0,13501899777.0,,
Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,Thu nhập thuế TNDN hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh riêng,,,2.569.909.991,19.519.145.768,,,2569909991.0,19519145768.0
