row_label_raw,row_label_full,col_0,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất/năm,Hình thứcđảm bảo,numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất/năm,numeric__Hình thứcđảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Các cá nhân,Ngắn hạn > Các cá nhân,Các cá nhân,97.706.390.497,Kỳ hạn trả gốc và lãi là 12 tháng theo từng hợp đồng. Hợp đồng cuối cùng đáo hạn tháng 8 năm 2026.,"7,6% - 12%",Tín chấp,97706390497.0,,,
Công ty Cổ phần Tư vấn Đầu tư Xây dựng Bắc Аi,Ngắn hạn > Công ty Cổ phần Tư vấn Đầu tư Xây dựng Bắc Аi,Công ty Cổ phần Tư vấn Đầu tư Xây dựng Bắc Аi,28.900.000.000,Gốc và lãi vay đáo hạn vào tháng 12 năm 2026.,"9,3%",Tín chấp,28900000000.0,,0.09300000000000001,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,126.606.390.497,,,,126606390497.0,,,
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Các cá nhân,Dải hạn > Các cá nhân,Các cá nhân,25.027.187.500,Kỳ hạn trả gốc và lãi trên 12 tháng theo từng hợp đồng. Hợp đồng cuối cùng đáo hạn tháng 8 năm 2026.,"7,6% - 10,5%",Tín chấp,25027187500.0,,,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,25.027.187.500,,,,25027187500.0,,,
Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Dải hạn > Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đến hạn trả- Vay dài hạn,25.027.187.500,,,,25027187500.0,,,
