row_label_raw,row_label_full,Các bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Cổ phần Văn Phú B&C,"Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Phải trả phí dịch vụ,Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > 3.900.879.494,Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > 953.150.740,"numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Phải trả phí dịch vụ,numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > 3.900.879.494,numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > 953.150.740
Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty con,Phải trả phí dịch vụ,1.069.200.000,1.465.948.387,,,1069200000.0,1465948387.0
Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty Cổ phần Đầu tư và Quản lý khách sạn Văn Phú,Công ty con,Phải trả phí dịch vụ,825.819.500,256.913.800,,,825819500.0,256913800.0
Công ty Cổ phần Đầu tư BĐS Tân Trí,Công ty Cổ phần Đầu tư BĐS Tân Trí,Công ty Cổ phần Đầu tư BĐS Tân Trí,Công ty con,Phải trả phí dịch vụ,271.620.000,-,,,271620000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.067.518.994,2.676.012.927,,,6067518994.0,2676012927.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2),,,,
Lâm Hoàng Đăng,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2) > Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng giám đốc,Thanh toán theo tiến độ hợp đồng mua nhà,11.895.322.543,-,,,11895322543.0,
Đỗ Thị Thanh Phương,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2) > Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT/ Phó Tổng giám đốc,Thanh toán theo tiến độ hợp đồng mua nhà,8.405.751.685,-,,,8405751685.0,
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (Thuyết minh số 19.2) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.301.074.228,-,,,20301074228.0,
Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),,,,
Công ty Cổ phần Đầu tư Xây dựng New Tech,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty Cổ phần Đầu tư Xây dựng New Tech,Công ty con,Lãi vay phải trả,2.176.382.465,-,,,2176382465.0,
Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú – Giảng Võ,Công ty con,Lãi vay phải trả,1.379.367.123,161.232.877,,,1379367123.0,161232877.0
Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty Cổ phần Đầu tư Bất động sản Tân Trí,Công ty con,Lãi vay phải trả,695.516.438,695.516.438,,,695516438.0,695516438.0
Công ty TNHH Văn Phú Resort – Lộc Bình,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty TNHH Văn Phú Resort – Lộc Bình,Công ty con,Lãi vay phải trả,618.711.643,618.711.643,,,618711643.0,618711643.0
Công ty Cổ phần Văn Phú B&C,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Văn Phú B&C,Công ty Cổ phần Văn Phú B&C,"Công ty con đến ngày 19 tháng 11 năm 2025, sau đó thành công ty liên kết",Chi phí dịch vụ,504.000.000,-,,,504000000.0,
Lâm Hoàng Đăng,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Lâm Hoàng Đăng,Lâm Hoàng Đăng,Phó Tổng Giám Đốc,Lãi vay phải trả,171.328.028,-,,,171328028.0,
Đỗ Thị Thanh Phương,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Đỗ Thị Thanh Phương,Đỗ Thị Thanh Phương,Thành viên HĐQT kiểm Phó Tổng giám đốc,Lãi vay phải trả,-,90.144.484,,,,90144484.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.545.305.697,1.565.605.442,,,5545305697.0,1565605442.0
